Fecha;J;Tmax;Tmin;Rhmax;Rhmin;Uz;Rs;lluvia;Peff;ETo;fc;lluvia_esperada_0_24h;lluvia_esperada_24_48h
8/4/01;98;18,33;4,36;78,8;26,68;5,57;23,74;0;0;5,05;0.0386;1,4;0
9/4/01;99;23,47;-0,73;81,7;17,29;2,19;24,63;0;0;4,8;0.04;0;0
10/4/01;100;23,4;4,56;73,3;19,24;3,26;23,93;0;0;5,46;0.0415;0;0
11/4/01;101;19,93;3,68;72,3;18,43;4,38;25,12;0;0;5,46;0.043;0;0
12/4/01;102;19,59;-0,2;76,8;17,3;2;25,3;0;0;4,28;0.0446;0;0
13/4/01;103;19,39;6,02;60,58;20,85;2,54;24,68;0;0;4,68;0.0463;0,3;0
14/4/01;104;20,46;4,56;67,51;12,47;2,32;25,51;0;0;4,83;0.0481;0;0,3
15/4/01;105;22,87;1,68;79,9;16,22;2,72;25,5;0;0;5,24;0.0499;0;0,3
16/4/01;106;24,14;4,29;72,9;22,45;3,35;22,84;0;0;5,5;0.0518;0;4,6
17/4/01;107;17,73;7,23;89,1;47,06;4,73;22,97;0;0;3,97;0.0538;0;0
18/4/01;108;14,59;4,89;95,3;54,72;2,33;12,45;0,2;0;2,29;0.0558;3,7;0
19/4/01;109;18,59;2,42;98;33,85;1,73;16,53;1,4;0;3,09;0.0578;4,1;0
20/4/01;110;15,11;0,6;93,6;20,92;3,51;24,2;2,6;0;4,09;0.0599;0;1,1
21/4/01;111;13,31;-0,93;84,5;27,63;4,89;25,85;0;0;4,05;0.062;0;0
22/4/01;112;20,13;-0,53;83,7;29,77;4,82;23;0;0;4,99;0.0642;0;0
23/4/01;113;22,41;8,36;91,2;33,45;5,12;18,72;0;0;5,04;0.0664;0;1,5
24/4/01;114;24,54;5,69;91,9;29,82;3,62;22,02;0;0;5,27;0.0686;0;0
25/4/01;115;19,53;7,57;85,6;19,78;4,53;24;0;0;5,33;0.0708;0;7,9
26/4/01;116;21;5,96;78,8;34,79;4,14;21,44;0;0;4,84;0.0731;0;0
27/4/01;117;21,27;5,56;85,1;24,67;2,38;20,18;0,4;0;4,33;0.0754;0;2,2
28/4/01;118;22;5,36;84,8;25;1,52;26,61;0;0;4,5;0.0778;1;10,5
29/4/01;119;21,66;4,96;94,5;27,89;2,02;15,22;4,8;1,7;3,63;0.0802;0;1,2
30/4/01;120;12,92;1,14;89,8;24,21;4,89;25,64;2,6;0;4,12;0.0828;12,2;7,6
1/5/01;121;8,3;0,33;97,3;65,08;2,92;11,51;7,6;3,87;1,65;0.0854;2,8;4,1
2/5/01;122;12,57;0,07;98,7;44,79;1,67;19,86;3,8;0,86;2,69;0.0883;4,3;0
3/5/01;123;13,31;2,01;99;45,33;1,55;16,68;1,6;0;2,52;0.0913;0;0
4/5/01;124;17,06;5,22;93,5;29,9;3,6;22,4;0,2;0;4,17;0.0944;0;0
5/5/01;125;16,32;4,22;91,9;28,29;3,99;25,21;0;0;4,4;0.0978;0;0,1
6/5/01;126;18,4;2,28;89,7;25,01;2,68;25,3;0;0;4,44;0.1012;0;0
7/5/01;127;19,13;3,75;86,9;30,1;2,39;23,01;0;0;4,2;0.1049;0;18,8
8/5/01;128;18,79;7,03;86,5;41,9;4,41;20,27;0;0;4,21;0.1086;11,4;0
9/5/01;129;11,18;6,16;96,7;79,7;2,94;4,58;15,2;9,19;1,13;0.1125;0;0
10/5/01;130;15,86;7,03;97,1;50,36;3,57;17,02;0;0;3,09;0.1164;0;0
11/5/01;131;21,73;6,96;92;33,58;1,67;27,04;0;0;4,58;0.1205;0;0
12/5/01;132;24,47;8,04;94,2;25,53;1,68;26,25;0;0;4,95;0.1246;0;0,3
13/5/01;133;23,61;7,57;86,6;27,14;2,71;25,24;0;0;5,27;0.1288;0,2;0
14/5/01;134;17,66;9,71;77;39,69;3,14;14,46;0;0;3,61;0.1331;0;0
15/5/01;135;22,01;10,51;84,5;36,6;4,28;13,54;0;0;4,4;0.1374;0,8;0
16/5/01;136;26,42;9,24;94;28,02;1,97;27,91;0;0;5,51;0.1417;0;4,1
17/5/01;137;27,15;12,31;85,4;26,94;2,72;28,08;0;0;6,19;0.1461;6;16
18/5/01;138;17,53;12,25;96;72,5;3,85;10,03;9,2;5,05;2,16;0.1505;6,9;0
19/5/01;139;17,33;9,97;95,8;68,46;2,5;10,66;11,4;6,62;2,17;0.1548;0;1,8
20/5/01;140;20,4;11,05;95,4;39,95;1,67;23,43;0;0;4,11;0.1592;5,7;0,3
21/5/01;141;18,8;9,71;94,2;56,19;1,74;13,61;8,4;4,47;2,7;0.1635;0,2;2,8
22/5/01;142;23,01;7,84;95,3;32,51;2,3;25,24;0;0;4,87;0.1679;1,6;0
23/5/01;143;23,81;11,31;89,5;31,57;1,75;23,29;0,2;0;4,63;0.1721;4,7;0
24/5/01;144;25,88;10,51;92,5;28,42;1,76;23,85;0,8;0;4,95;0.1763;0;0
25/5/01;145;29,16;10,51;93,1;22,25;2;28,51;0;0;6,14;0.1805;0;0
26/5/01;146;29,76;13,79;72,3;18,63;2,28;28,89;0;0;6,77;0.1845;0;0
27/5/01;147;28,42;12,72;63,91;19,9;2,48;29,69;0;0;6,82;0.1885;0;0
28/5/01;148;30,76;11,18;75,2;16,28;1,92;29,58;0;0;6,63;0.1924;0;0
29/5/01;149;30,97;10,91;63,73;16,15;2,52;29,83;0;0;7,27;0.1961;1,5;0
30/5/01;150;31,16;10,65;73,3;11,86;1,8;30,31;0;0;6,7;0.1998;0;0
31/5/01;151;33,1;11,18;69,16;7,04;1,51;30,41;0;0;6,7;0.2034;0;0
1/6/01;152;33,63;15,67;68,13;14,34;2,5;27,03;0;0;7,61;0.207;1,5;0,6
2/6/01;153;33,91;13,79;74,6;6,9;3,03;30,03;0;0;8,63;0.2105;0;0
3/6/01;154;33,91;11,58;79,7;9,31;3;30,05;0;0;8,39;0.2139;0;0
4/6/01;155;32,77;15,33;89,7;9,98;2,57;29,08;0;0;7,69;0.2173;0;0
5/6/01;156;34,11;10,98;93,3;7,44;2,87;30,54;0;0;8,34;0.2207;0;0
6/6/01;157;30,77;9,71;78,5;13,6;2,35;29,66;0;0;7,09;0.224;0;0
7/6/01;158;31,5;13,45;80,3;19,5;2,61;29,22;0;0;7,31;0.2273;0;0,8
8/6/01;159;33,17;12,99;88,8;12,2;2,75;29,36;0;0;7,83;0.2306;0,9;0
9/6/01;160;28,02;12,11;69,34;20,71;4,73;27,99;0;0;7,87;0.2339;0;0
10/6/01;161;24,21;13,25;91,4;23,73;3,45;23,89;0;0;5,78;0.2371;0,3;0
11/6/01;162;23,01;10,24;89,6;39,22;3;28,38;0;0;5,38;0.2403;0;0,2
12/6/01;163;27,15;9,1;94,1;20,78;1,55;28,64;0;0;5,64;0.2436;0;1,3
13/6/01;164;29,83;10,65;69,63;13,8;2,41;29,19;0;0;7;0.2468;0;0,2
14/6/01;165;32,84;10,65;68,96;14,27;2,26;29,93;0;0;7,4;0.25;0;0
