Fecha;J;Tmax;Tmin;Rhmax;Rhmin;Uz;Rs;lluvia;Peff;ETo;fc;lluvia_esperada_0_24h;lluvia_esperada_24_48h
9/4/03;99;18,94;2,36;94,4;39,9;3,33;18,33;0;0;3,61;0.0386;1,4;9,2
10/4/03;100;17,67;6,57;79;30,78;4,57;20,74;0;0;4,44;0.04;0;0
11/4/03;101;14,34;7,98;88,6;35,28;5,55;18,29;0,6;0;3,73;0.0415;0,3;4
12/4/03;102;17,67;6,1;86,2;46,67;2,31;17,8;0;0;3,15;0.043;1,5;17,8
13/4/03;103;20,35;6,64;86;41,78;5,64;23,8;0,4;0;4,77;0.0446;7;2,1
14/4/03;104;12,67;7,17;94,5;71,1;2,34;7,33;11;6,33;1,52;0.0463;10,2;0
15/4/03;105;11,45;5,96;94,5;73,2;2,12;6,08;6,4;2,95;1,32;0.0481;4,6;0
16/4/03;106;13,26;4,57;95,3;62,18;3,05;12,12;3;0,17;2,1;0.0499;0;1,1
17/4/03;107;17,67;2,69;95,6;42,31;1,32;24,42;0;0;3,42;0.0518;0;4,9
18/4/03;108;19,28;5,71;89,4;28,9;2,18;21,42;0;0;3,92;0.0538;26,5;10,9
19/4/03;109;12,06;6,04;92,7;63,27;3,72;7,67;17,8;10,9;1,82;0.0558;4,3;0
20/4/03;110;12,66;5,3;91,7;60,91;4,29;14,54;1;0;2,39;0.0578;2,9;0
21/4/03;111;17,33;2,89;95,7;35,81;2,18;26,6;0,2;0;3,93;0.0599;0,8;0
22/4/03;112;13,26;4,37;96,2;63,26;3,38;9,34;3,4;0,52;1,92;0.062;0;0
23/4/03;113;16,53;5,43;94,1;50,97;2,4;23,89;0;0;3,45;0.0642;0;0
24/4/03;114;20,35;4,9;94,6;44,19;1,23;21,24;0;0;3,4;0.0664;0;0
25/4/03;115;23,96;5,58;92,3;20,99;1,84;26,41;0;0;4,89;0.0686;0,8;3,8
26/4/03;116;15,81;6,04;92,5;51,26;3,22;14,73;1,4;0;2,86;0.0708;0;0,9
27/4/03;117;22,96;2,89;96,4;29,5;2,17;26,74;0,2;0;4,78;0.0731;0;0
28/4/03;118;27,37;7,84;91,5;16,96;2,89;26,93;0;0;6,26;0.0754;0;0,2
29/4/03;119;24,36;9,65;91,3;35,74;2,32;24,49;0;0;4,83;0.0778;0;0
30/4/03;120;18,88;5,64;79,9;29,44;4,25;22,96;0;0;4,81;0.0802;0;0
1/5/03;121;21,22;4,3;81,8;38,16;3,47;22,88;0;0;4,62;0.0828;0;0
2/5/03;122;22,63;7,11;90,3;29,7;2,78;28,13;0;0;5,24;0.0854;0;0
3/5/03;123;20,15;9,39;86,5;47,14;4,39;23,55;0;0;4,49;0.0883;0;11,1
4/5/03;124;23,69;8,18;84,1;29,3;3,15;25,73;0;0;5,44;0.0913;9,7;9,5
5/5/03;125;16,08;9,72;93,5;53,87;1,6;7,49;6,6;3,11;1,93;0.0944;10,5;17,9
6/5/03;126;10,86;5,77;93,6;81,5;3,36;5,86;16;9,71;1,22;0.0978;16,4;2,9
7/5/03;127;13,13;5,1;94,2;66,08;4,2;11,09;13,6;8,13;2,07;0.1012;8,6;3,5
8/5/03;128;12,86;6,5;95,5;75,1;2,17;6,37;6,4;2,95;1,4;0.1049;1,4;0
9/5/03;129;20,02;4,17;95,8;46,27;1,32;27,2;0,2;0;4,08;0.1086;0;0
10/5/03;130;23,49;8,92;93;32,25;1,22;28,42;0;0;4,75;0.1125;0;1,1
11/5/03;131;25,03;9,25;88,5;29,03;1,6;26,69;0;0;5;0.1164;1;0
12/5/03;132;25,96;11,13;87,2;29,76;1,62;28,03;0;0;5,3;0.1205;0;0
13/5/03;133;26,5;10,33;90,1;27,55;1,85;28,37;0;0;5,53;0.1246;0;0
14/5/03;134;23,96;11,13;89,6;44,25;3,66;28,43;0;0;5,45;0.1288;0;0
15/5/03;135;24,17;11,99;90,9;39,83;3,58;23,11;0;0;5,13;0.1331;9;3,1
16/5/03;136;19,95;9,72;93,9;63,37;2,49;12,63;7,8;4,03;2,66;0.1374;0;1,1
17/5/03;137;23,23;7,17;95;35,4;1,47;28,33;0,2;0;4,79;0.1417;0;0
18/5/03;138;27,24;9,59;91,7;30,5;1,33;28,44;0;0;5,29;0.1461;0;0
19/5/03;139;28,71;10,33;92,5;19,51;2,7;29,24;0;0;6,66;0.1505;0;0
20/5/03;140;25,76;9,32;90,1;12,47;2,08;29,69;0;0;6;0.1548;0;0
21/5/03;141;26,63;9,86;88,4;19,44;1,53;29,84;0;0;5,67;0.1592;0;0
22/5/03;142;27,84;9,45;78,8;20,45;1,32;30,39;0;0;5,72;0.1635;0;0
23/5/03;143;30,19;9,25;86;13,68;1,18;30,25;0;0;5,86;0.1679;0;0
24/5/03;144;26,04;9,45;79;15,15;2,97;23,83;0;0;6,17;0.1721;0;0
25/5/03;145;20,69;7,11;68,71;21,79;2,54;30,32;0;0;5,55;0.1763;0;0
26/5/03;146;21,09;2,83;82,4;22,87;1,94;30,34;0;0;5,11;0.1805;1,5;0
27/5/03;147;23,56;6,98;75;24,54;2,03;30,3;0;0;5,6;0.1845;0;0
28/5/03;148;25,83;7,17;78,9;28,22;2,11;29,6;0;0;5,79;0.1885;0;0
29/5/03;149;27,71;8,99;81,6;25,07;1,98;30,22;0;0;6,12;0.1924;1,5;0,6
30/5/03;150;30,39;8,25;84,8;13,74;1,41;29,43;0;0;6,04;0.1961;0;0
31/5/03;151;31,06;11,07;74,1;20,04;1,53;26,12;0;0;5,89;0.1998;0;0
1/6/03;152;28,38;11,59;84,1;22,52;1,65;22,78;0;0;5,24;0.2034;0;0
2/6/03;153;28,17;11,06;87,5;28,09;1,7;24,27;0;0;5,3;0.207;0;0
3/6/03;154;28,44;13,93;80,4;28,02;1,75;24,25;0;0;5,47;0.2105;2,7;3,3
4/6/03;155;27,3;12,53;92,5;23,86;2,51;20,4;0,8;0;5,37;0.2139;0;1,2
5/6/03;156;24,04;13,26;90;47,2;2,83;21,57;0,8;0;4,61;0.2173;1,3;0
6/6/03;157;29,58;11,47;88,2;29,36;2,17;26,76;0;0;6,05;0.2207;0,2;15
7/6/03;158;31,59;13,33;78,4;25,54;2,34;25,31;0;0;6,5;0.224;0;1,3
8/6/03;159;31,79;13,73;89,1;26,21;1,7;23,12;2,4;0;5,68;0.2273;0;0
9/6/03;160;32,47;13,94;91,8;23,66;1,62;28,61;0;0;6,38;0.2306;0;0,8
10/6/03;161;33,14;14,07;82,9;21,32;1,41;27,85;0;0;6,23;0.2339;0,8;0,3
11/6/03;162;34,01;14,87;74,4;15,89;2,37;28,74;0;0;7,59;0.2371;1,1;0
12/6/03;163;30,86;12,4;74,1;17,3;2,69;30,2;0;0;7,39;0.2403;0;0
13/6/03;164;33,14;14,54;65,95;22,52;2,48;28,86;0;0;7,44;0.2436;0;14,8
14/6/03;165;34,61;14,87;64,26;17,5;2,41;23,39;0;0;7,19;0.2468;12,1;5
15/6/03;166;32,53;14,4;91,8;21,45;1,7;19,89;6,8;3,29;5,46;0.25;0;0
16/6/03;167;29,98;13,87;92,7;26,48;1,31;25,31;0,2;0;5,4;0.2532;0;0
17/6/03;168;30,72;14,14;84,7;25,88;1,39;25,01;0;0;5,56;0.2564;0;0,5
18/6/03;169;31,53;15,07;87,8;27,95;2,17;28,96;0;0;6,7;0.2597;0;0
19/6/03;170;30,72;16,35;85,5;33,12;2,19;29,16;0;0;6,56;0.2629;0;0
20/6/03;171;31,33;13,33;84,6;23,46;2,29;30,64;0;0;7,03;0.2662;0;0
21/6/03;172;34,2;13,06;60,32;13,68;1,76;30,99;0;0;7,26;0.2694;0;0
22/6/03;173;35,61;11,33;66,89;11,6;2,09;30,08;0;0;7,74;0.2727;0;1,6
23/6/03;174;34,88;14,47;76,3;22,46;2,4;26,87;0;0;7,34;0.276;0;4,5
24/6/03;175;32,26;18,02;77,9;28,22;1,53;26,57;0;0;6,13;0.2794;0;0
25/6/03;176;34,01;16,62;85,5;21,45;1,27;24,47;0,2;0;5,8;0.2827;0;0
26/6/03;177;33;13,47;92,4;11,73;1,59;26,06;0;0;6,26;0.2861;0;0
27/6/03;178;32,93;12,86;85,8;12,6;1,83;29,87;0;0;6,93;0.2896;0;0,1
28/6/03;179;32,6;17,42;92,4;17,5;2,2;25,73;0;0;6,73;0.293;0;0
29/6/03;180;32,47;13,26;92,8;11,33;2,65;30,09;0;0;7,64;0.2966;0;0
30/6/03;181;27,24;15,61;63,71;23,81;3,89;27,12;0;0;7,29;0.3002;0;0
1/7/03;182;26,16;12,59;63,71;25,88;4,16;29,91;0;0;7,29;0.3039;0;0
2/7/03;183;27,77;10,13;67,91;22,86;3,04;30;0;0;6,97;0.3076;0;0
3/7/03;184;28,04;10,26;87,3;18,3;1,91;30,26;0;0;6,26;0.3115;0;0
4/7/03;185;29,52;16,62;89,5;29,63;2,6;24,65;0;0;6,13;0.3155;1,4;0
5/7/03;186;30,79;15,74;92,2;22,59;2,62;28,3;0;0;6,91;0.3195;0;0
6/7/03;187;31,52;15,94;93,3;24;2,41;27,41;0;0;6,72;0.3236;0;0
7/7/03;188;33,46;16,28;92,2;17,36;2,06;29,1;0;0;7,09;0.3278;0;0
8/7/03;189;34,47;15,48;84,3;13,54;1,7;29,26;0;0;6,94;0.332;0;0
9/7/03;190;35,33;14,2;61,56;13,54;1,58;29,24;0;0;6,93;0.3362;1,5;0
10/7/03;191;35,73;15,94;84,9;11,06;2,02;29,03;0;0;7,52;0.3405;0;0
11/7/03;192;36,13;16,01;69,83;11,06;1,88;28,99;0;0;7,43;0.3447;0;0
12/7/03;193;35,21;16,75;72;14,01;2,34;27,93;0;0;7,73;0.349;1,1;0
13/7/03;194;33,53;14,34;62,79;16,49;1,59;28,52;0;0;6,62;0.3532;0;0
14/7/03;195;33,54;14,6;70,2;9,85;1,54;28,22;0;0;6,57;0.3574;0;0
15/7/03;196;32,8;13,01;86,5;12,67;2,42;27,66;0;0;7,22;0.3615;0;0
16/7/03;197;28,64;12,26;60,71;13,21;2,57;30,06;0;0;7,14;0.3656;0;0,1
17/7/03;198;33,8;10,26;77;10,73;1,76;29,62;0;0;6,94;0.3696;0;0
18/7/03;199;35,86;13,06;92,6;10,59;1,63;29,35;0;0;7;0.3735;0;2,5
19/7/03;200;35,93;14,6;39,98;13,27;1,7;27,7;0;0;6,99;0.3773;3,2;0
20/7/03;201;35,8;17,89;79,4;17,02;1,51;19,09;0,8;0;5,67;0.3809;0;0
21/7/03;202;34,14;14,87;91,9;11,87;2,01;28,88;0;0;7,1;0.3844;0;0
22/7/03;203;35,46;13,46;83,7;10,66;1,43;27,59;0;0;6,49;0.3878;0;0
