Fecha;J;Tmax;Tmin;Rhmax;Rhmin;Uz;Rs;lluvia;Peff;ETo;fc;lluvia_esperada_0_24h;lluvia_esperada_24_48h
9/4/20;100;14,44;6,34;90;57,06;2,29;6,93;0,2;0;1,85;0,0386;0;0
10/4/20;101;15,5;8,62;91,7;44,24;2,02;11,84;0,4;0;2,47;0,04;0;0
11/4/20;102;19,12;8,35;73,1;27,58;2,78;17,37;0;0;4,05;0,0415;0;0
12/4/20;103;18,12;6,61;92,6;36,31;3,71;21,73;0;0;4,01;0,043;0;8,3
13/4/20;104;18,58;6,47;92,7;48,85;1,8;15,87;0;0;2,85;0,0446;6,6;0
14/4/20;105;14,04;9,82;99;77,9;3,58;7,85;4,6;1,52;1,49;0,0463;1,2;0
15/4/20;106;16,25;9,22;100;65,98;3,62;8,81;2,4;0;1,97;0,0481;0;0
16/4/20;107;19,12;9,15;100;56,7;2,98;16,78;0;0;3,01;0,0499;0;3,4
17/4/20;108;19,92;9,35;100;42,07;1,84;16,53;0;0;3,15;0,0518;0;0
18/4/20;109;20,59;9,35;99,5;55,49;2,72;16,66;0,6;0;3,14;0,0538;2,4;0
19/4/20;110;19,92;9,42;98,9;46,7;1,87;14,31;0,2;0;2,9;0,0558;1,1;0
20/4/20;111;16,98;7,08;98,9;54,9;3,22;20,34;0;0;3,17;0,0578;0;0
21/4/20;112;12,17;6,54;93,7;66,2;3,8;7,65;0,2;0;1,75;0,0599;9,1;0
22/4/20;113;19,59;8,55;97,5;46,97;2,92;14,84;6,8;3,27;3,2;0,062;0;0
23/4/20;114;19,12;8,48;100;50,66;2,6;13,76;0;0;2,87;0,0642;0;0
24/4/20;115;19,86;8,62;95,6;46,84;3,13;21,18;0;0;3,85;0,0664;0;7,7
25/4/20;116;19,39;7,74;98,1;40,19;1,69;19,89;1,4;0;3,46;0,0686;0;0
26/4/20;117;19,99;9,49;100;50,19;2,23;14,09;0,2;0;2,93;0,0708;5,7;1
27/4/20;118;16,51;8,08;99,3;51,81;2,13;12,79;2;0;2,5;0,0731;0,8;0
28/4/20;119;17,92;6;100;41,07;2,75;18,54;0;0;3,43;0,0754;0;0
29/4/20;120;20,39;4,4;94,3;34,63;2,81;23,59;0;0;4,34;0,0778;0,2;0
30/4/20;121;19,8;10,56;84,7;43,15;3,85;16,1;0;0;3,93;0,0802;0;0,9
1/5/20;122;22,14;8,21;94,9;46,64;4,06;23,7;0;0;4,58;0,0828;0;0
2/5/20;123;26,76;10,23;96,4;29,25;2,49;24,32;0;0;5,35;0,0854;0;0,2
3/5/20;124;30,3;7,94;89,4;17,44;1,53;24,8;0;0;5,43;0,0883;0;0
4/5/20;125;29,78;11,84;81,2;20,33;2,74;20,88;0;0;6,06;0,0913;0;0
5/5/20;126;26,49;9,02;89,5;29,86;1,68;20,21;0;0;4,47;0,0944;0;0
6/5/20;127;28,37;7,55;84,1;21,2;1,62;24,42;0;0;5,23;0,0978;0;0
7/5/20;128;25,02;12,44;85,8;36,24;4,15;19,58;0;0;5,33;0,1012;0;5,1
8/5/20;129;25,29;7,88;86,8;36,43;3,1;21,14;0;0;5,02;0,1049;4,6;3,7
9/5/20;130;24,69;10,76;100;43,08;1,6;17,96;2;0;3,74;0,1086;4,8;6
10/5/20;131;17,59;9,82;99,9;50,54;3,13;19,52;8,4;4,48;3,4;0,1125;4,8;12,9
11/5/20;132;19,06;9,62;97,6;52,15;3;17,86;3,2;0,35;3,37;0,1164;24;3,7
12/5/20;133;14,84;6,47;100;83,2;1,23;4,14;19,4;11,91;1,03;0,1205;1,6;6,6
13/5/20;134;18,45;8,62;100;48,66;1,68;16,63;0,4;0;3;0,1246;14,6;27,5
14/5/20;135;13,44;6,88;100;66,79;1,99;8,32;10,4;5,91;1,68;0,1288;9,5;7,6
15/5/20;136;15,31;4,94;100;73,1;0,88;8,74;13,2;7,85;1,6;0,1331;2,7;0,6
16/5/20;137;18,99;9,49;99;63,62;1,09;13,98;1,4;0;2,45;0,1374;0;1,3
17/5/20;138;22,4;8,28;98,6;38,11;1,07;24,41;0;0;4,09;0,1417;0;1,1
18/5/20;139;25,41;7,08;100;28,38;1,73;27,04;0;0;5,12;0,1461;0;0
19/5/20;140;27,09;8,96;94;22,14;1,13;30,27;0;0;5,41;0,1505;0;0
20/5/20;141;29,04;8,89;94,3;24,49;1,04;26,34;0;0;5,07;0,1548;0;0
21/5/20;142;30,11;11,64;86,1;21,74;0,86;25,71;0;0;5;0,1592;0;0
22/5/20;143;31,64;11,84;90,4;21,8;0,67;26,29;0;0;5,04;0,1635;0;0
23/5/20;144;32,06;14,38;75,8;22,54;1,63;24,83;0;0;5,94;0,1679;0;1,9
24/5/20;145;27,09;14,18;89,7;42,47;4,07;24,76;0;0;5,88;0,1721;10,2;0
25/5/20;146;19,14;12,98;98,3;53,23;2,32;10,39;12,8;7,59;2,58;0,1763;5,3;0,6
26/5/20;147;24,22;12,64;100;39,93;2,62;22,33;0,6;0;4,67;0,1805;0;0
27/5/20;148;25,16;10,76;90,8;34,16;3,65;26,15;0;0;5,81;0,1845;0;0
