Fecha;J;Tmax;Tmin;Rhmax;Rhmin;Uz;Rs;lluvia;Peff;ETo;fc;lluvia_esperada_0_24h;lluvia_esperada_24_48h
9/4/07;99;12;4,18;94;73,2;3,65;13,02;0,2;0;1,85;0.0386;1,4;0
10/4/07;100;13,74;6,65;92,8;67,56;3,04;10,92;0;0;1,96;0.04;0;0
11/4/07;101;11,27;6,45;92,2;71,1;3,56;7,12;0;0;1,54;0.0415;0,8;0,6
12/4/07;102;12,67;6,32;93;66,7;1,02;7,72;3,2;0,34;1,46;0.043;4,3;0
13/4/07;103;14,35;7,32;92,4;63,14;2,24;9,57;2,8;0;1,92;0.0446;4,4;0
14/4/07;104;13,27;5,58;91,5;62,81;2,33;12,76;0,6;0;2,13;0.0463;0;0
15/4/07;105;17,35;6,25;87,2;47,29;2,6;16,19;0;0;3,08;0.0481;0;0,7
16/4/07;106;18,96;4,17;87,2;38,1;2,9;23,69;0;0;4,07;0.0499;0;0
17/4/07;107;19,43;6,45;86,1;34,14;3,79;23,06;0;0;4,49;0.0518;0;0
18/4/07;108;19,63;5,78;84,4;31,66;3,48;23,33;0;0;4,54;0.0538;0;0
19/4/07;109;21,09;4,71;83,4;25,96;1,96;23,28;0;0;4,25;0.0558;0;0
20/4/07;110;21,37;5,38;88;27,77;2,81;23,9;0;0;4,66;0.0578;0;0
21/4/07;111;19,84;5,25;83,2;25,83;3,06;21,73;0;0;4,5;0.0599;0;0
22/4/07;112;19,7;6,85;77,9;38,77;3,26;17,96;0;0;4,01;0.062;0;1,1
23/4/07;113;23,11;7,79;74,8;26,02;2,99;25,36;0;0;5,35;0.0642;0;0
24/4/07;114;23,7;4,58;81,4;21,32;1,38;26,3;0;0;4,57;0.0664;0;45,4
25/4/07;115;20,04;7,73;85;40,32;2,27;15,75;0;0;3,44;0.0686;15,1;2,6
26/4/07;116;15,16;7,1;91,4;67,91;2,61;12,05;25,2;15,54;2,17;0.0708;2,2;9,7
27/4/07;117;15,82;7,86;93,5;63,27;2,52;11,38;5,6;2,33;2,22;0.0731;11,2;0
28/4/07;118;16,88;6,32;91,8;56,15;2,67;21,49;17,6;10,81;3,3;0.0754;0;0
29/4/07;119;15,69;7,99;92,4;59,98;2,4;14,7;0;0;2,57;0.0778;0;0
30/4/07;120;16,02;6,45;92,1;51,33;3,7;19,27;0;0;3,3;0.0802;0;0
1/5/07;121;13,48;5,78;88,7;39,93;4,55;23,59;0;0;3,71;0.0828;0;0
2/5/07;122;12,54;5,38;89;67,84;2,03;8,04;0;0;1,67;0.0854;0;0
3/5/07;123;14,61;6,58;90,9;50,99;2,5;19,14;0,4;0;3,03;0.0883;1;0,8
4/5/07;124;17,16;4,38;92,6;40,85;3,38;23,16;0;0;3,92;0.0913;0;0
5/5/07;125;18,56;3,91;88,8;24,82;3,17;27,81;0;0;4,83;0.0944;0;0,2
6/5/07;126;20,16;4,05;84,2;28,1;2,2;26,91;0;0;4,62;0.0978;0;0
7/5/07;127;23,91;3,58;83,2;26,49;2,16;26,78;0;0;5,12;0.1012;0,9;0
8/5/07;128;26,79;5,25;81;19,45;1,75;28,45;0;0;5,56;0.1049;0;0
9/5/07;129;26,99;9,4;74,4;15,22;1,96;28,59;0;0;5,94;0.1086;0,2;0
10/5/07;130;28;7,79;81,8;18,98;2,33;28,34;0;0;6,2;0.1125;0;0
11/5/07;131;26,19;8,73;82,8;17,23;3,26;28,72;0;0;6,61;0.1164;0;0
12/5/07;132;27,12;7,66;72,9;19,45;2,6;27,99;0;0;6,3;0.1205;0;0
13/5/07;133;22,91;13,15;67,64;33,8;3,7;22,65;0;0;5,55;0.1246;0;0
14/5/07;134;17,96;5,52;75,7;23,81;4,78;28,45;0;0;5,47;0.1288;0;0,1
15/5/07;135;22,05;2,23;83,4;19,25;1,65;29,18;0;0;4,96;0.1331;0;0
16/5/07;136;24,18;5,78;84,5;24,41;2,8;24,02;0;0;5,37;0.1374;0;0
17/5/07;137;24,59;6,05;82,2;33,27;1,68;19,58;0;0;4,21;0.1417;0;0
18/5/07;138;30;9,73;84,1;26,42;1,91;27,43;0;0;5,99;0.1461;0;7
19/5/07;139;29,61;12,74;73,3;23,07;4,2;28,35;0;0;7,86;0.1505;2,3;3,2
20/5/07;140;24,52;11,34;91,2;38,03;3,78;24,03;11,4;6,67;5,39;0.1548;0,8;5,9
21/5/07;141;23,64;8,8;93,5;47,55;2,05;23,32;0,2;0;4,34;0.1592;3,8;0
22/5/07;142;19,77;12,48;89,5;69,29;5,02;12,44;2;0;2,86;0.1635;0;6,5
23/5/07;143;21,45;11,2;87,7;55,74;3,26;13,4;0;0;3,34;0.1679;1,9;7,8
24/5/07;144;22,17;8,87;88,9;47,15;2,69;21,9;3,8;0,86;4,29;0.1721;10,5;0
25/5/07;145;16,36;8,67;91,8;61,59;2,62;12,56;3,4;0,52;2,51;0.1763;3,7;2,2
26/5/07;146;19,97;5,85;93,2;39,71;3,27;25,81;0,2;0;4,6;0.1805;0;0
27/5/07;147;19,64;9;91,6;50,24;5,15;14,63;0,2;0;3,7;0.1845;0;1,1
28/5/07;148;18,23;6,65;85,2;25,76;4,51;29,89;0;0;5,45;0.1885;0;0
29/5/07;149;22,31;4,18;85,3;31,66;3,02;29,5;0;0;5,47;0.1924;0;0
30/5/07;150;25,39;7,9;81,9;26,4;3,25;29,43;0;0;6,31;0.1961;0;0
31/5/07;151;21,91;10,41;83,3;30,18;4,15;25,09;0;0;5,6;0.1998;0;0
1/6/07;152;22,91;8,67;84,8;21,66;2,79;28,8;0;0;5,78;0.2034;0;0
2/6/07;153;25,45;7,46;76,8;22,67;2,13;26,4;0;0;5,59;0.207;0;0
3/6/07;154;25,52;9,74;69,88;24,14;1,98;29,02;0;0;5,83;0.2105;0;31
4/6/07;155;27,53;10,8;69,39;22,53;2,28;28;0;0;6,26;0.2139;8,3;0
5/6/07;156;23,11;11,87;91,3;42,39;3,51;22,11;13,6;8,18;4,82;0.2173;0;0
6/6/07;157;23,91;9,94;91,1;29,37;1,96;30,45;0;0;5,54;0.2207;0;1,5
7/6/07;158;28,4;10,28;85,4;21,53;1,37;30,6;0;0;5,9;0.224;0,6;0
8/6/07;159;30,48;13,21;65,97;16,16;1,25;28,58;0;0;5,94;0.2273;0;0
9/6/07;160;29,61;13,68;77,1;19,11;2,01;27,73;0;0;6,38;0.2306;0;0
10/6/07;161;26,45;11,21;78;30,11;1,85;23,46;0;0;5,16;0.2339;0;0
11/6/07;162;28,26;10,21;75,9;20,72;1,52;30,94;0;0;6,09;0.2371;0;0
12/6/07;163;30,01;13,62;71,5;17,57;1,72;30,17;0;0;6,52;0.2403;0;3,8
13/6/07;164;28,2;12,15;79,3;21,73;2,31;30,19;0;0;6,59;0.2436;0;0
14/6/07;165;26,72;13,41;90,6;29,24;3,82;27,4;1,2;0;6,52;0.2468;0,9;4,3
15/6/07;166;23,05;13,55;91,9;43,8;3,28;15,6;1,6;0;4,09;0.25;7,5;0
16/6/07;167;22,65;15,43;91,9;53,73;3,13;15,92;0,6;0;3,77;0.2532;0;7,6
17/6/07;168;26,59;12,21;88,5;28,5;2,34;26,76;0;0;5,79;0.2564;0;0
18/6/07;169;28;15,43;87,1;31,72;1,9;18,91;0,2;0;4,8;0.2597;0,8;0,3
19/6/07;170;28,06;12,81;79,2;13,48;2,5;30,24;0;0;6,9;0.2629;1,1;0
20/6/07;171;25,99;10,21;75,3;27,02;2,66;24,14;0;0;5,72;0.2662;0;0
21/6/07;172;25,92;8,87;73;23,81;2,43;30,93;0;0;6,33;0.2694;0;0
22/6/07;173;28,33;9,14;71;13,81;1,83;31,45;0;0;6,49;0.2727;0;0
23/6/07;174;28,47;12,68;82,5;35,74;3,35;29,61;0;0;6,72;0.276;0;1,6
24/6/07;175;32,68;14,29;89,8;22,93;2,48;29,54;0;0;7,25;0.2794;1,4;0
25/6/07;176;29,81;12,54;63,01;17,37;3,41;31,08;0;0;7,95;0.2827;0;0,9
26/6/07;177;27,06;14,22;86,4;26,09;2,25;24,58;0;0;5,68;0.2861;0;0
27/6/07;178;26,92;15,49;89,7;30,04;2,57;24,74;0;0;5,74;0.2896;0;0
28/6/07;179;29,94;15,96;86,7;25,82;2,38;24,78;0;0;6,21;0.293;0;0
29/6/07;180;32,08;12,61;88,1;16,09;1,57;29,94;0;0;6,53;0.2966;0;0
30/6/07;181;33,48;15,43;73,7;17,9;1,86;29,23;0;0;7,01;0.3002;0,5;0
1/7/07;182;30,08;12,21;52,08;16,16;2,64;26,3;0;0;7,02;0.3039;0;0
2/7/07;183;30,08;12,27;76,6;14,28;2,09;30,78;0;0;6,9;0.3076;0;0
3/7/07;184;31,82;11,34;83,9;20,12;2,28;30,13;0;0;7,06;0.3115;0;0
4/7/07;185;31,88;15,02;70,6;23,47;2,7;30,06;0;0;7,49;0.3155;0;0
5/7/07;186;30,14;14,89;83,1;28,23;2,1;29,64;0;0;6,55;0.3195;1,6;0
6/7/07;187;31,42;15,16;85,4;22,46;2,42;29,85;0;0;7,1;0.3236;0;0
7/7/07;188;32,68;13,08;54,02;18,58;2,34;29,4;0;0;7,44;0.3278;0;0
8/7/07;189;35,09;13,08;64,28;18,5;1,69;29,17;0;0;6,96;0.332;0;0
9/7/07;190;31,75;13,35;74,3;16,23;2,4;30,06;0;0;7,34;0.3362;0;0
10/7/07;191;28,67;12,47;76,8;13,68;2,65;29,65;0;0;7,04;0.3405;0;0
11/7/07;192;30,61;12,68;77,7;18,51;2,06;29,92;0;0;6,76;0.3447;0;0
12/7/07;193;30,41;14,62;90,4;25,41;2,74;28,89;0;0;6,88;0.349;0;0
13/7/07;194;33,48;14,96;88,2;19,64;2,61;28,8;0;0;7,51;0.3532;0,1;0
14/7/07;195;32,88;15,36;88,7;18,77;3,69;28,89;0;0;8,3;0.3574;0;0
15/7/07;196;30,88;15,23;90,4;29,17;3,51;28,44;0;0;7,25;0.3615;0;0
16/7/07;197;32,21;13,41;91,4;17,5;1,87;29,09;0;0;6,65;0.3656;0;0
17/7/07;198;32,68;14,89;79,4;20,72;1,76;29,24;0;0;6,66;0.3696;0;0
18/7/07;199;33,21;14,29;86,3;16,9;1,36;29,37;0;0;6,34;0.3735;0;0
19/7/07;200;32,75;13,01;88,5;13,34;1,72;29,48;0;0;6,68;0.3773;0;1,4
20/7/07;201;29;10,6;81;17,17;2,13;29,44;0;0;6,44;0.3809;0;0
21/7/07;202;28,87;14,49;90,3;14,55;1,91;28,97;0;0;6,28;0.3844;0;0
22/7/07;203;30,54;13,55;88,3;14,15;1,66;25,75;0;0;5,92;0.3878;0;0
23/7/07;204;28,73;10,81;79,7;16,09;3,34;28,75;0;0;7,21;0.391;0;0
24/7/07;205;31,07;11,87;71,6;12,61;1,67;29,55;0;0;6,44;0.3941;0;1,5
25/7/07;206;33,81;16,43;89;14,15;2,24;28,33;0;0;7,25;0.397;0;0
26/7/07;207;35,55;15,76;84;11,67;1,47;28,92;0;0;6,71;0.3998;0;0
27/7/07;208;36,69;14,55;79,3;10,53;1,15;28,85;0;0;6,35;0.4026;0;1,1
28/7/07;209;36,96;17,63;79,4;7,91;1,83;28,92;0;0;7,43;0.4052;0;0
29/7/07;210;35,88;15,96;75,3;12,67;1,85;27,8;0;0;7,07;0.4079;0;0
30/7/07;211;35,21;19,44;59,5;10,79;1,8;28,41;0;0;7,17;0.4105;0;0
31/7/07;212;36,89;14,42;63,08;9,18;1,46;28,2;0;0;6,71;0.4132;0;0
1/8/07;213;37,83;17,24;67,63;8,11;1,75;24,95;0;0;6,98;0.4158;0,1;0
2/8/07;214;36,89;14,69;81,9;9,12;1,94;27,37;0;0;7,28;0.4184;0;0
3/8/07;215;31,61;18,83;87,3;32,72;2,83;25,92;0;0;6,58;0.421;0;0,1
4/8/07;216;37,29;15,43;89,8;12,33;1,71;26,62;0;0;6,89;0.4236;0;8,4
5/8/07;217;36,29;16,84;79,2;15,02;2,24;19,02;0;0;6,62;0.4261;1,5;0
6/8/07;218;30,67;17,77;85,3;30,77;2,1;22,21;3,6;0,7;5,59;0.4285;0;0
7/8/07;219;28,26;16,17;91,7;37,22;2,51;20,04;0;0;5,01;0.4309;1,5;0
8/8/07;220;29,61;17,1;89,4;25,82;2,23;20,64;0;0;5,42;0.4331;0;0
9/8/07;221;30,94;16,96;85,8;16,96;2,35;24,24;0;0;6,32;0.4353;0;0
10/8/07;222;32,2;17,3;88,3;18,44;2,12;24,72;0;0;6,29;0.4374;0;0
11/8/07;223;31,74;15,63;93,1;16,36;1,76;24,82;0;0;5,87;0.4393;0;0,3
12/8/07;224;29,2;11,47;67,3;17,9;1,99;21,55;0;0;5,51;0.4411;0,3;1,1
13/8/07;225;31,6;12,41;79,4;14,08;1,43;26,5;0;0;5,7;0.4428;0;0
14/8/07;226;31,4;12,74;89,2;16,89;1,32;26,3;0;0;5,49;0.4443;0;0
15/8/07;227;32,67;12,54;50,13;16,22;2,12;26,93;0;0;6,66;0.4456;0;0
16/8/07;228;29,87;16,03;77,3;24,21;2,46;26,91;0;0;6,35;0.4468;0;0,4
17/8/07;229;27,39;17,56;84,7;43,32;3,21;19,97;0;0;5,1;0.4477;0;0
18/8/07;230;32,67;18,16;84,3;22,06;2,35;24,91;0;0;6,47;0.4485;0,3;0
19/8/07;231;31,87;16,76;87,8;12,27;2,17;25,65;0;0;6,41;0.4491;0;0
20/8/07;232;29,14;15,43;80,3;22,13;2,23;23,67;0;0;5,73;0.4494;0;0
21/8/07;233;26,86;13,15;54,76;18,11;2,47;24,7;0;0;5,99;0.4494;1,3;0
22/8/07;234;25,18;10,8;67,64;15,76;2,38;26,54;0;0;5,69;0.4491;1,4;0
23/8/07;235;26,32;12,47;74,1;24,81;1,73;24,47;0;0;4,99;0.4486;0,5;8,8
24/8/07;236;21,71;11,94;79,2;51,72;3,13;13,95;0;0;3,53;0.4477;1,8;0
25/8/07;237;23,58;15,83;88,9;64,95;4,63;8,63;3,8;0,86;2,97;0.4465;0;0,5
26/8/07;238;27,26;16,56;89,2;39,3;3,78;19,28;0;0;5,21;0.4451;0;0
27/8/07;239;35,62;15,49;79,4;12,4;2,3;23,11;0;0;6,82;0.4433;0;0
28/8/07;240;37,16;15,9;69,12;12,67;1,58;18,71;0;0;5,69;0.4412;0,8;0
29/8/07;241;30,01;14,76;76,8;18,51;2,77;24,31;0;0;6,29;0.439;0;0
30/8/07;242;28,2;11,07;75,6;25,01;1,97;23,41;0;0;5,13;0.4364;0;0,6
31/8/07;243;27,59;12,07;71,9;25,55;2,19;24,12;0;0;5,33;0.4337;0;0
1/9/07;244;28,46;12,88;82,6;21,73;1,93;24,11;0;0;5,23;0.4308;1,4;0
2/9/07;245;29,53;11,74;82,9;13,95;1,39;23,47;0;0;4,85;0.4277;0;0
3/9/07;246;31,26;13,15;65,76;17,36;1,53;23,42;0;0;5,2;0.4244;0;0,9
4/9/07;247;31,13;13,28;78,6;14,75;2,08;23,13;0;0;5,73;0.421;0;0
5/9/07;248;26,59;13,15;84,7;40,84;2,8;21,66;0;0;4,8;0.4175;0;0,5
6/9/07;249;28,39;13,35;86,3;19,51;1,62;22,16;0;0;4,72;0.4139;0;0
7/9/07;250;30,52;12,34;70,4;19,57;1,86;23,08;0;0;5,32;0.4103;0;0
8/9/07;251;30,19;11,94;88,8;21,26;1,83;22,16;0;0;5,02;0.4065;0;26,7
9/9/07;252;29,32;14,15;87,4;26,55;1,38;18,94;0;0;4,17;0.4027;26,8;4,6
10/9/07;253;26,92;14,69;89,6;39,63;1,88;13,99;22,6;13,99;3,59;0.3989;2,5;0
11/9/07;254;26,05;14,55;93,5;35,94;1,65;19,95;0,2;0;3,98;0.3951;0;6,9
12/9/07;255;21,91;13,08;90,1;63,06;2,36;11,98;0;0;2,63;0.3913;0;10,7
13/9/07;256;25,85;13,21;92;40,84;1,56;20,23;0,6;0;3,83;0.3875;7,7;3,5
14/9/07;257;20,24;12,41;91,9;58,29;1,7;11,61;5,2;2,01;2,39;0.3837;0,9;1,6
15/9/07;258;24,11;11,27;91,9;47,14;1,78;19,47;0,2;0;3,55;0.3798;0;0
16/9/07;259;27,33;12,88;91,9;39,36;1,92;19,51;0;0;4,07;0.3759;0;0
17/9/07;260;26,99;13,48;93,2;26,29;1,87;19,15;0;0;4,19;0.3718;0;0
18/9/07;261;26,99;11,6;79;23,47;2,1;20,55;0;0;4,59;0.3676;0;0
19/9/07;262;24,17;14,89;89;53,85;2,58;16,64;0;0;3,48;0.3632;0;4,3
20/9/07;263;24,71;14,82;90,1;47,07;2,2;11,94;0;0;3,11;0.3585;15,6;0
21/9/07;264;19,66;14,12;92;70,2;2,09;7,75;12,2;7,17;1,85;0.3537;2,3;0
22/9/07;265;20,36;14,29;92,9;65,12;0,87;10,45;0,4;0;1,93;0.3488;0;0
23/9/07;266;22,03;12;91;55,86;1,37;16,29;0,2;0;2,76;0.3437;0;0
24/9/07;267;25,98;11,67;92,2;30,78;1,28;19,99;0;0;3,56;0.3384;0;0
25/9/07;268;26,59;10,54;89,4;26,29;1,7;19,76;0;0;3,93;0.333;0;0
26/9/07;269;22,43;9,47;90,3;20,72;2,09;19,32;0;0;3,8;0.3275;0;0
27/9/07;270;19,23;6,72;72,4;26,43;2,6;20,53;0;0;3,8;0.3219;0;0
28/9/07;271;24,11;6,38;73,9;26,15;1,98;19,19;0;0;3,85;0.3162;1,5;0
29/9/07;272;21,18;10,21;86,1;52,73;1,8;13,72;0;0;2,61;0.3104;0;1,3
30/9/07;273;26,05;8,87;89,7;33,53;0,88;17,99;0;0;2,94;0.3046;0;0
1/10/07;274;26,66;13,55;93,1;31,25;1,62;16,02;0;0;3,43;0.2988;0,3;7,5
2/10/07;275;23,17;14,08;92,1;52,31;2,86;13,4;1;0;3,05;0.2929;9,6;3
3/10/07;276;19,37;13,15;92,5;60,31;1,59;9,12;12,6;7,45;1,92;0.287;0;1,8
4/10/07;277;18,09;10,73;92,1;65,94;0,78;8,11;0,2;0;1,49;0.2811;5,6;0
5/10/07;278;20,44;10,53;91,5;54,54;1,77;15,96;0,2;0;2,56;0.2752;0;0
6/10/07;279;22,43;9,74;91;39,23;1,92;16,57;0,2;0;3,04;0.2694;0;0
7/10/07;280;23,24;9,27;86,5;39,77;1,46;15,91;0;0;2,81;0.2635;0;0
8/10/07;281;23,7;9,07;89,3;36,61;1,37;16,98;0;0;2,87;0.2578;0;0
9/10/07;282;22,23;10,94;74,2;31,52;1,71;17,29;0;0;3,15;0.2521;0;4
10/10/07;283;22,97;7,66;82,6;25,55;1,86;17,82;0;0;3,31;0.2465;10,2;0
11/10/07;284;14,55;8,6;89,2;52,94;2,53;10,64;13,2;7,86;2,02;0.241;0;0
