Fecha;J;Tmax;Tmin;Rhmax;Rhmin;Uz;Rs;lluvia;Peff;ETo;fc;lluvia_esperada_0_24h;lluvia_esperada_24_48h
9/4/05;99;12,12;-1,26;76,3;25,43;5,31;24,35;0;0;3,93;0.0386;0;0
10/4/05;100;14,54;-2,6;65,56;25,69;5,29;22,67;0,6;0;4,33;0.04;0;0
11/4/05;101;16,15;1,23;72,7;31,73;3,8;22,17;0;0;4,05;0.0415;0;0
12/4/05;102;18,27;0,36;81,2;28,43;2,23;25,37;0;0;4,02;0.043;0;0
13/4/05;103;20,42;3,77;79,9;22,87;2,17;25,19;0;0;4,42;0.0446;0,3;0
14/4/05;104;19,22;2,9;91,1;31,92;2,68;19,54;0;0;3,81;0.0463;0;0,3
15/4/05;105;12,87;4,84;67,66;25,83;5,37;19,82;0;0;4,18;0.0481;0;0,3
16/4/05;106;12,6;-0,32;79,2;26,57;5,39;22,64;0;0;3,94;0.0499;0;0
17/4/05;107;18,49;-1,73;80,2;40,45;4,55;22,11;0;0;4,18;0.0518;0;0
18/4/05;108;18,09;8,31;84,3;35,89;6,91;19,03;0;0;4,67;0.0538;0;0
19/4/05;109;17,22;2,22;83,1;27,64;4,6;24,9;0;0;4,64;0.0558;0;0
20/4/05;110;18,02;2,96;86,7;31,53;4,13;24,01;0;0;4,46;0.0578;0;0
21/4/05;111;21,42;7,58;80,5;33,93;3,54;24,13;0;0;4,91;0.0599;0;0
22/4/05;112;24,04;8,12;77,8;18,91;2,42;26,6;0;0;5,42;0.062;0,7;0
23/4/05;113;22,43;3,9;93,5;33,8;1,94;22,33;0;0;4,14;0.0642;0;0
24/4/05;114;19,29;5,38;71;26,22;4,34;23,09;0;0;5,09;0.0664;0;0
25/4/05;115;21,76;2,5;88,6;14,08;2,06;28,03;0;0;4,96;0.0686;0;0
26/4/05;116;24,91;6,45;72,5;15,42;2,24;27,77;0;0;5,64;0.0708;0;0
27/4/05;117;25,71;6,72;75,7;13,75;2,76;27,1;0;0;6,1;0.0731;0;0
28/4/05;118;27,38;4,3;64,51;8,58;2,31;28,7;0;0;6,3;0.0754;0;0
29/4/05;119;27,52;5,58;47,37;11,33;3,75;28,24;0;0;7,54;0.0778;1,1;0
30/4/05;120;28,12;8,52;53,35;19,71;3,52;25,05;0;0;7;0.0802;0;15,9
1/5/05;121;28,39;8,26;60,95;23,8;3,04;23,88;0;0;6,39;0.0828;0;0
2/5/05;122;22,7;12,74;88,4;45;1,95;10,01;9,6;5,35;2,94;0.0854;0;0
3/5/05;123;23,57;11;92,6;23,2;2,44;24,74;0;0;5,12;0.0883;0;0
4/5/05;124;24,38;9,79;80,5;15,42;2,9;19,5;0;0;5,37;0.0913;0;0
5/5/05;125;22,83;8,99;78,7;12,27;2,92;25,16;0;0;5,7;0.0944;0;0
6/5/05;126;25,04;3,9;76,2;14,55;1,82;29,81;0;0;5,56;0.0978;0;1
7/5/05;127;27,38;6,79;75,5;12,74;1,54;28,27;0;0;5,55;0.1012;0;0
8/5/05;128;27,25;10,06;67,3;14,69;3,39;27,36;0;0;6,97;0.1049;4,3;0
9/5/05;129;27,85;8,52;91,7;21,79;2,2;20,34;2,4;0;5,21;0.1086;0;0
10/5/05;130;24,31;10,06;92,7;24,68;3,52;27,23;0,2;0;5,92;0.1125;0;0
11/5/05;131;25,65;9,59;90,1;24,61;3,29;26,98;0;0;6,09;0.1164;0;0
12/5/05;132;20,09;9,45;92,3;37,28;2,95;16,96;0;0;3,87;0.1205;2,5;0
13/5/05;133;20,42;8,65;90,5;39,98;3,01;15,1;0,4;0;3,7;0.1246;0;0
14/5/05;134;20,55;4,77;93;26,62;3,16;29,26;0,2;0;5,23;0.1288;0,2;0
15/5/05;135;23,24;4,17;74;17,97;2,5;28,38;0;0;5,66;0.1331;7,9;1,6
16/5/05;136;19,55;5,38;86;26,22;2,55;19,29;0,6;0;4,16;0.1374;0;0
17/5/05;137;17,89;5,38;89,2;34,35;5,04;22,91;0,2;0;4,59;0.1417;0;0
18/5/05;138;22,43;3,77;82;19,65;3,39;29,85;0;0;5,98;0.1461;0;0
19/5/05;139;27,57;6,32;68;11,73;1,11;29,85;0;0;5,41;0.1505;0;0
20/5/05;140;30,25;9,46;60,8;7,17;1,93;30,43;0;0;6,79;0.1548;0;0
21/5/05;141;29,58;9,94;54,8;15,28;2,01;26,05;0;0;6,28;0.1592;0;0
22/5/05;142;25,31;9,05;65,36;12,61;3,53;29,75;0;0;7,05;0.1635;0;0
23/5/05;143;25,05;7,59;81,9;13,48;2,3;29,8;0;0;6,08;0.1679;0;0
24/5/05;144;27,25;8,39;92,9;23,67;2,7;29,49;0;0;6,33;0.1721;0,3;0,2
25/5/05;145;30,19;5,91;59,81;9,52;2,44;30,43;0;0;7,24;0.1763;0;0
