Fecha;J;Tmax;Tmin;Rhmax;Rhmin;Uz;Rs;lluvia;Peff;ETo;fc;lluvia_esperada_0_24h;lluvia_esperada_24_48h
9/4/16;100;16,57;0,77;84,2;31,61;3,12;25,44;0;0;4;0.0386;0;0
10/4/16;101;16,98;2,52;91,3;39,93;3,62;16,93;1,61;0;3,39;0.04;0;0,4
11/4/16;102;14,09;5,39;97,4;57,72;2,8;19,03;2,01;0;2,68;0.0415;4,1;0
12/4/16;103;15,77;5,39;97;45,57;2,74;10,35;2,61;0;2,45;0.043;0;0
13/4/16;104;15,18;4,93;95,1;49,27;3,9;18,73;0;0;3,09;0.0446;0;0
14/4/16;105;20,25;1,18;99,3;34,89;1,65;25,74;0;0;3,88;0.0463;0;0
15/4/16;106;22,13;3,86;94,8;20,67;2,74;25,48;0;0;4,93;0.0481;8,3;0
16/4/16;107;19,86;9,35;96;40,87;4,64;17,8;5,83;2,52;4,04;0.0499;0;0
17/4/16;108;16,97;7,88;97,6;34,76;3,32;22,15;1,21;0;3,85;0.0518;0;0
18/4/16;109;19,52;5,6;92,7;46,51;4,13;23,45;0;0;4,11;0.0538;0;0,9
19/4/16;110;15,18;7,07;96,1;49,19;5,3;10,97;0;0;2,8;0.0558;0;1,5
20/4/16;111;13,1;6,26;97,4;50,14;2;9,63;2,21;0;2;0.0578;0;0
21/4/16;112;16,84;5,66;96,4;39,26;2,9;21,08;0;0;3,56;0.0599;3;0
22/4/16;113;15,97;6,47;94;52,68;2,03;14,12;1,41;0;2,56;0.062;0;0
23/4/16;114;19,05;3,66;99,1;39,46;2,84;24,36;0,4;0;4,02;0.0642;0;0
24/4/16;115;19,05;2,79;95;28,45;3,25;27,76;0;0;4,68;0.0664;0;0
25/4/16;116;20,19;1,65;87,6;14,56;1,74;28,45;0;0;4,59;0.0686;0;0
26/4/16;117;21,79;2,18;94,7;20,8;2,01;26,62;0;0;4,69;0.0708;0;0
27/4/16;118;21,13;6,33;99;34,02;1,95;15,19;1,61;0;3,38;0.0731;2,8;0,9
28/4/16;119;19,45;8,55;100;39,99;2,68;16,99;1;0;3,48;0.0754;5,7;0
29/4/16;120;13,83;7,81;99,9;71,8;3,92;9,25;3,62;0,7;1,74;0.0778;1,2;0
30/4/16;121;20,39;6,06;100;20,33;2,98;27,44;0,2;0;5,03;0.0802;0;0
1/5/16;122;18,45;-0,03;88,7;14,63;2,14;28,86;0;0;4,62;0.0828;0;0
2/5/16;123;20,92;-0,3;80;12,01;1,52;29,42;0;0;4,71;0.0854;0;0
3/5/16;124;26,01;3,99;71,1;11,34;1,49;29,35;0;0;5,4;0.0883;0;0
