Fecha;J;Tmax;Tmin;Rhmax;Rhmin;Uz;Rs;lluvia;Peff;ETo;fc;lluvia_esperada_0_24h;lluvia_esperada_24_48h
9/4/10;99;16,97;2,58;79;34,15;3,26;23,45;0;0;3,97;0.0386;1,4;0
10/4/10;100;17,04;2,11;84,2;37,64;3,81;25,97;0;0;4,11;0.04;0;0
11/4/10;101;20,32;2,92;77,3;11,88;1,95;24,56;0;0;4,4;0.0415;2,2;1,3
12/4/10;102;19,44;3,65;94,5;29,25;3,58;19,88;4,8;1,7;4,21;0.043;5,2;0
13/4/10;103;7,89;5,39;96,6;86,1;5,27;4,61;3,6;0,69;0,88;0.0446;5,1;0
14/4/10;104;9,21;5,73;96,6;86,1;4,86;4,28;1,2;0;0,7;0.0463;1,8;0
15/4/10;105;15,63;5,53;97,1;63,68;3,3;13,46;0,6;0;2,3;0.0481;0;0
16/4/10;106;16,9;5,59;96,4;55,02;2,71;14,26;0;0;2,62;0.0499;9,7;5,3
17/4/10;107;13,36;6,93;96,7;73,7;3,33;6,38;6,2;2,8;1,45;0.0518;0,5;6,8
18/4/10;108;12,75;7,73;97;73,6;1,51;5,36;7,2;3,56;1,24;0.0538;5,8;0
19/4/10;109;17,1;5,32;96,6;52,34;2,46;18,23;0,2;0;2,99;0.0558;0;0
20/4/10;110;19,58;5,59;94,2;42,87;1,6;17,75;0;0;3,17;0.0578;0;0,2
21/4/10;111;21,98;7,14;93,3;31,59;2,78;22,07;0,4;0;4,47;0.0599;7,5;0
22/4/10;112;17,04;8,46;96,2;60,19;2,35;8,82;5,2;2,01;2,08;0.062;4,9;0
23/4/10;113;18,57;8,67;94,4;57,16;2,76;16,35;8,8;4,77;2,99;0.0642;0;0
24/4/10;114;22,12;6,53;95,6;38,37;1,29;23,82;0;0;3,94;0.0664;0;0
25/4/10;115;22,79;10,61;91;36,49;1,42;19,56;0;0;3,75;0.0686;1;0,8
26/4/10;116;24,6;9,87;93,9;26,63;1,22;24,86;0;0;4,44;0.0708;0;0
27/4/10;117;27,21;8,81;90,5;14,62;2,41;26,9;0;0;5,95;0.0731;0;0,2
28/4/10;118;24,87;9,88;96,5;30,92;3,06;27,58;0;0;5,54;0.0754;0;0
29/4/10;119;26,07;9,88;87,1;26,5;2,05;25,14;0;0;5,19;0.0778;0,9;0
30/4/10;120;25,07;8,61;96;25,49;1,8;24,92;0;0;4,86;0.0802;0;0
1/5/10;121;23,12;9,54;96,5;28,51;2,24;19,92;0;0;4,33;0.0828;0,2;0
2/5/10;122;22,39;8,47;93,7;30,92;1,95;24,59;0;0;4,53;0.0854;7,7;0
3/5/10;123;12,35;1,57;96,3;52,09;3,68;13,86;0,4;0;2,56;0.0883;0;0,1
4/5/10;124;9,08;2,51;75,4;40,75;6,67;11,71;0;0;2,9;0.0913;0;0
5/5/10;125;12,35;1,57;85;41,28;4,47;15,58;0;0;3,05;0.0944;0;12,6
6/5/10;126;17,37;-1,03;90,3;23,35;2,48;28,84;0;0;4,47;0.0978;6,8;0
7/5/10;127;16,57;7,2;92,6;43,62;2,68;13,44;9,8;5,5;2,93;0.1012;2;6,6
8/5/10;128;17,63;6,06;95,1;44,35;2,38;20,31;0,2;0;3,51;0.1049;7,8;3,2
9/5/10;129;16,78;9,47;94,4;61,27;2,8;11,57;5,2;2,01;2,42;0.1086;0;0
10/5/10;130;17,91;9,47;94,9;46,03;3,09;18,26;0,4;0;3,5;0.1125;2,3;1
11/5/10;131;14,56;5,73;93;59,67;1,51;12,14;0,8;0;2,18;0.1164;0;0
12/5/10;132;15,57;5,93;93,4;39,52;4,28;19,33;0;0;3,66;0.1205;4;5
13/5/10;133;14,3;3,05;92,8;37,58;3,1;16,28;0,2;0;3,13;0.1246;0;0
14/5/10;134;14,23;4,99;90,6;27,65;5,01;23,34;0,2;0;4,21;0.1288;0;1,3
15/5/10;135;16,17;4,86;86,1;26,98;4,42;25,13;0;0;4,62;0.1331;0;1,1
16/5/10;136;19,58;2,12;83,5;24,49;2,42;27,03;0;0;4,75;0.1374;0;0
17/5/10;137;23,53;3,38;78,3;21,4;1,62;27,37;0;0;4,98;0.1417;0;0
18/5/10;138;25,87;6,53;81,7;19,12;1,51;26,86;0;0;5,21;0.1461;0;0
