Fecha;J;Tmax;Tmin;Rhmax;Rhmin;Uz;Rs;lluvia;Peff;ETo;fc;lluvia_esperada_0_24h;lluvia_esperada_24_48h
9/4/11;99;28,35;8,08;78,4;13,55;3,03;24,11;0;0;6,33;0.0386;1,4;0
10/4/11;100;26,74;8,68;91,9;22,34;2,66;25,11;0;0;5,5;0.04;0;0
11/4/11;101;20,38;5,53;86,1;32,87;2,02;22,51;0;0;3,94;0.0415;0;0
12/4/11;102;23,53;7,81;76,8;24,75;1,87;25,44;0;0;4,68;0.043;0;0
13/4/11;103;25,34;4,86;85,5;18,51;1,49;26,18;0;0;4,68;0.0446;0;0
14/4/11;104;26,21;5,86;89,4;16,43;2,56;25,87;0;0;5,63;0.0463;0,3;0
15/4/11;105;21,25;8,41;88,2;34,62;3,73;21,91;0;0;4,63;0.0481;0;0,3
16/4/11;106;16,24;6,33;84,7;48,05;4,86;18,46;0;0;3,54;0.0499;0;0
17/4/11;107;19,45;3,92;94,6;31,54;3,61;26,28;0;0;4,6;0.0518;0;0
18/4/11;108;19,05;4,86;94,3;31,87;4,67;24,24;0,6;0;4,66;0.0538;3,6;0
19/4/11;109;19,45;7,27;93,2;38,85;3,25;17,68;1,8;0;3,75;0.0558;0;6,8
20/4/11;110;19,85;9,08;94,5;45,9;4,82;16,88;0;0;3,86;0.0578;14,5;16
21/4/11;111;13,23;6,99;94,5;71,6;4,51;6,56;22;13,56;1,65;0.0599;7,6;14,9
22/4/11;112;14,42;3,92;95,2;54,16;1,93;15,98;13;7,73;2,51;0.062;0;0
23/4/11;113;13,95;7,27;96,1;63,62;1,49;12,51;1,4;0;2,05;0.0642;0;0,6
24/4/11;114;15,9;7,94;94,2;59,32;2,71;16,89;0,4;0;2,77;0.0664;1,4;3,1
25/4/11;115;16,18;7,47;94,9;64,75;1,47;8,94;4,6;1,53;1,82;0.0686;0;0
26/4/11;116;19,53;6,56;91,3;40,21;1,8;23,65;0,2;0;3,87;0.0708;0;0
27/4/11;117;21,92;8,88;93,3;32;1,51;23,21;0;0;4,1;0.0731;2;2,8
28/4/11;118;21,95;7,88;98,7;34,02;1,77;23,13;0,2;0;4,14;0.0754;2;6,8
29/4/11;119;15,3;9,75;97;65,3;3,4;11,67;1;0;2,23;0.0778;0;0,3
30/4/11;120;14,77;9,61;98,1;69,6;1,45;8,24;1;0;1,64;0.0802;0,8;17,7
1/5/11;121;26,98;7,54;100;53,88;2,66;16,86;4,82;1,72;3,88;0.0828;7,4;0
2/5/11;122;17,18;8,94;100;60,06;1,92;15,46;13,47;8,05;2,63;0.0854;0;0
3/5/11;123;20,05;9,28;100;57,37;2,86;19,22;0;0;3,36;0.0883;0;0
4/5/11;124;21,46;6,53;99,3;33,75;1,76;22,87;0;0;4,09;0.0913;0;0
5/5/11;125;20,32;8,94;97,4;54,96;2,57;15,4;1,41;0;3,11;0.0944;0;23,2
6/5/11;126;17,64;10,62;95,5;66,43;5,85;19,39;0;0;3,14;0.0978;13,3;2
7/5/11;127;16,59;7,87;99,5;73,8;2,47;5,12;18,89;11,59;1,43;0.1012;2;0
8/5/11;128;21,98;6,42;99,9;42,94;0,69;28,21;0,12;0;4,2;0.1049;0,7;0
9/5/11;129;25;7,67;97,9;22,2;2,24;22,38;0;0;4,96;0.1086;0;0
10/5/11;130;22,19;9,48;100;52;3,72;22,69;0;0;4,22;0.1125;0;0
11/5/11;131;24,87;8,61;99,6;29,52;1,9;23,01;0;0;4,67;0.1164;1,1;0
12/5/11;132;25,2;9,48;95,3;34,01;1,89;20,85;0;0;4,44;0.1205;2,4;0
13/5/11;133;23,47;8,41;85,5;36,63;1,59;17,6;0,2;0;3,8;0.1246;5,1;1,1
14/5/11;134;34,96;10,22;98,6;29,92;1,76;23,27;4,22;1,22;5,97;0.1288;0,6;0
15/5/11;135;21,05;8,21;99;33,48;2,35;27,96;0;0;4,82;0.1331;1,3;0
16/5/11;136;21,19;10,62;98,1;39,11;2,61;25,62;0;0;4,6;0.1374;1,1;0
17/5/11;137;22,33;9,08;98,3;29,99;2,63;23,38;0;0;4,75;0.1417;1,2;14,6
18/5/11;138;17,57;10,89;96,3;59,13;3,73;15,44;3,62;0,71;2,98;0.1461;0;0
19/5/11;139;14,56;10,28;98;74,7;2,43;9,66;2,21;0;1,8;0.1505;0;1,5
20/5/11;140;20,72;7,88;96;38,04;1,8;23;0;0;4,09;0.1548;0;0
21/5/11;141;23,66;6,67;96,5;29,92;1,76;27;0;0;4,91;0.1592;0;0
22/5/11;142;26,21;8,01;87,2;27,7;1,4;27,86;0;0;5,18;0.1635;0;1,5
23/5/11;143;27,08;8,41;91,5;24,89;1,14;27,83;0;0;5,14;0.1679;0,6;0
24/5/11;144;28,76;11,49;81,8;23,81;1,92;28,66;0;0;6,1;0.1721;0;0
25/5/11;145;29,96;10,42;78,6;14,89;1,23;31,24;0;0;6,03;0.1763;0;10,4
26/5/11;146;29,63;9,55;82,9;17,98;2;24,19;0;0;5,86;0.1805;3,5;0
27/5/11;147;24,41;14,17;100;44,41;1,81;16,91;6,23;2,84;3,74;0.1845;0,9;6,9
28/5/11;148;26,54;12,29;100;35,28;1,71;23,31;0;0;4,8;0.1885;2,4;10,3
29/5/11;149;27,28;14,64;97,7;34,88;2,92;25,02;4,02;1,05;5,7;0.1924;9,6;0
30/5/11;150;25,14;13,23;99,1;35,22;1,89;21,74;4,42;1,39;4,57;0.1961;5,7;10,7
31/5/11;151;22,33;11,55;97,9;46,69;1,82;17,62;2,21;0;3,61;0.1998;3,5;0,3
1/6/11;152;21,52;8,35;94,2;32,61;2,31;25,98;1,61;0;4,78;0.2034;1,1;0
2/6/11;153;20,45;7,74;84,6;36,7;2,43;23,1;0;0;4,43;0.207;0;0
