Fecha;J;Tmax;Tmin;Rhmax;Rhmin;Uz;Rs;lluvia;Peff;ETo;fc;lluvia_esperada_0_24h;lluvia_esperada_24_48h
9/4/09;99;18,3;3,52;91,2;31,06;2,78;24,28;0;0;4,03;0.0386;0;0
10/4/09;100;12,95;3,85;89,8;44,44;4,95;14,34;1;0;2,89;0.04;0;0
11/4/09;101;8,67;1,84;88,6;48,46;6,54;11,55;0,2;0;2,34;0.0415;0;0
12/4/09;102;13,29;0,91;84,4;31,95;4,94;24,03;0;0;3,82;0.043;0,3;0
13/4/09;103;17,04;1,71;78,8;27,58;3,26;25,22;0;0;4,27;0.0446;0,3;0
14/4/09;104;17,71;1,91;81,9;35,36;2,93;17,46;0;0;3,56;0.0463;6,1;0
15/4/09;105;12,82;3,92;87;36,64;3,92;18,91;2;0;3,26;0.0481;3,5;0
16/4/09;106;13,09;4,72;87;44,7;4,04;15,7;2,2;0;2,94;0.0499;0;2
17/4/09;107;13,09;2,91;90,2;41,01;3,4;15,34;0,4;0;2,85;0.0518;0;15,1
18/4/09;108;14,76;3,12;91,1;39,26;2,68;20,62;0,2;0;3,26;0.0538;0;0
19/4/09;109;14,62;3,52;90,1;41,13;1,83;13,86;1,6;0;2,54;0.0558;0;0
20/4/09;110;17,83;1,84;91,8;23,15;3,02;23,52;0;0;4,26;0.0578;0;0
21/4/09;111;19,17;1,31;86,2;29,72;2,22;22,83;0;0;3,99;0.0599;0;0
22/4/09;112;20,51;1,58;83,3;25,96;1,78;26,48;0;0;4,34;0.062;0;0
23/4/09;113;24,4;3,98;77,7;14,69;1,68;27,55;0;0;5,04;0.0642;1;0
24/4/09;114;25,2;4,38;69,75;14,09;1,33;26,62;0;0;4,8;0.0664;0,9;0
25/4/09;115;21,46;6,94;84,1;23,55;2,92;20,57;0;0;4,69;0.0686;0;0
26/4/09;116;13,56;1,77;89,6;39,73;4,1;19,79;0,6;0;3,35;0.0708;0;0
27/4/09;117;17,71;0,77;89,7;25,9;4,3;25,87;0,2;0;4,73;0.0731;0;0
28/4/09;118;17,17;6,79;76,7;35,7;4,94;22,3;0;0;4,54;0.0754;1;0,8
29/4/09;119;20,11;3,38;80,7;27,51;3,06;27,81;0;0;4,99;0.0778;0;4,5
30/4/09;120;16,84;5,66;84,1;41,34;3,96;15,17;0;0;3,51;0.0802;6,2;0
1/5/09;121;17,64;6,39;88,4;31,47;2,58;18,58;2,6;0;3,71;0.0828;0;0
2/5/09;122;21,31;3,71;82,9;23,21;2;28,41;0;0;4,87;0.0854;0,2;0
3/5/09;123;23,59;3,79;78,8;16,5;1,66;28,7;0;0;5,1;0.0883;0;0
4/5/09;124;23,93;7,88;61,42;19,05;1,98;28,41;0;0;5,48;0.0913;0;0
5/5/09;125;24,8;7,87;71,4;21,33;2,2;28,36;0;0;5,65;0.0944;0;0
6/5/09;126;27,41;6,6;70,8;17,84;1,43;28,87;0;0;5,46;0.0978;0;0
7/5/09;127;28,35;7,8;69,3;13,28;1,81;28,35;0;0;5,96;0.1012;0;0
8/5/09;128;26,54;7,14;82,2;14,49;2,55;23,65;0;0;5,83;0.1049;3,2;0
9/5/09;129;23,73;8,27;91,5;27,91;2,16;12,51;2;0;3,77;0.1086;0;0
10/5/09;130;24,2;8,87;92,7;36,1;3,04;17,55;1;0;4,48;0.1125;0;0
11/5/09;131;25;9,34;92,2;19,25;2,81;21,21;0;0;5,34;0.1164;0;12,8
12/5/09;132;24,8;7,07;85,5;32,13;1,73;27,72;0;0;5,08;0.1205;5,6;0,8
13/5/09;133;19,31;11,02;90,1;51,19;1,22;10,42;9,6;5,34;2,37;0.1246;0;0
14/5/09;134;20,85;6,6;90,1;22,41;4,06;25,12;0;0;5,43;0.1288;0;0
15/5/09;135;20,58;3,65;83,9;20,53;2,85;29,89;0;0;5,39;0.1331;0;0
16/5/09;136;25,47;4,92;78,5;18,72;1,71;28,99;0;0;5,49;0.1374;0,7;0
17/5/09;137;26,41;6,53;81,4;25,42;2,31;28,25;0;0;5,83;0.1417;0;0
18/5/09;138;27,35;6,47;71,9;20,79;2,25;29,82;0;0;6,25;0.1461;0;0
19/5/09;139;29,08;8,74;71,7;20,06;2,12;29,27;0;0;6,41;0.1505;1,1;1
20/5/09;140;30,43;10,48;80,5;19,25;3,35;24,04;0;0;7,09;0.1548;0;0
21/5/09;141;32,22;10,75;77,3;18,84;1,97;25,07;0;0;6,3;0.1592;0;0
22/5/09;142;27,42;15,17;73,9;29,52;2,51;17,94;0;0;5,19;0.1635;2,1;0,3
23/5/09;143;26,01;12,69;85,6;24,82;3,66;27,95;4,2;1,21;6,55;0.1679;0,2;2,8
24/5/09;144;23,73;11,42;89,8;38,17;1,64;20,5;0;0;4,18;0.1721;1,6;0
25/5/09;145;23,66;10,93;91,8;28,73;2,18;25,39;0,2;0;5,08;0.1763;0;0
26/5/09;146;26,07;9,08;79;23,08;2,4;30,81;0;0;6,25;0.1805;0;0
27/5/09;147;25,6;9,75;70,7;25,29;2,24;29,48;0;0;5,99;0.1845;0;0
28/5/09;148;26,28;8,28;78,4;14,02;2,68;30,97;0;0;6,67;0.1885;0;0
29/5/09;149;26,48;9,68;64,31;23,95;2,76;29,03;0;0;6,48;0.1924;0;0
30/5/09;150;30,22;8,47;70,5;12,68;1,92;29,07;0;0;6,55;0.1961;9,1;0
31/5/09;151;29,76;12,89;82;12,68;1,77;22,6;1;0;5,72;0.1998;1,5;0
1/6/09;152;31,9;8,74;88,9;12,01;2,06;29,83;0;0;6,96;0.2034;0;0
2/6/09;153;31,7;11,62;66,25;11,2;2,28;29,57;0;0;7,3;0.207;0;0
3/6/09;154;31,76;10,68;72,7;13,08;1,52;28,99;0;0;6,37;0.2105;1,5;0
4/6/09;155;30,29;12,22;82,6;13,55;1,55;21,69;0;0;5,41;0.2139;1,8;0
5/6/09;156;23,99;11,89;84,2;20,46;4,11;25,9;0,2;0;6,35;0.2173;2,7;0
6/6/09;157;20,91;10,68;88,6;29,72;3,85;21,45;1,2;0;4,99;0.2207;0;0
7/6/09;158;21,85;8,41;81,2;29,31;2,62;21,9;0;0;4,78;0.224;0;0
8/6/09;159;19,86;7,2;82,2;33,21;2,85;13,32;0;0;3,74;0.2273;0;0
9/6/09;160;22,38;10,34;89,9;22,81;2,49;25,33;0,6;0;5,22;0.2306;0;0,2
10/6/09;161;27,68;8,47;65,8;25,83;1,82;24,84;0;0;5,53;0.2339;0;0
11/6/09;162;33,04;12,22;59,05;14,76;1,82;30,76;0;0;7,1;0.2371;0;0
12/6/09;163;34,64;14,04;83,6;14,75;2,29;30,36;0;0;7,75;0.2403;0;0
13/6/09;164;36,53;14,84;61,29;13,41;1,59;26,91;0;0;6,91;0.2436;0;0
14/6/09;165;34,24;17,45;54,16;18,91;2,68;24,68;0;0;7,66;0.2468;1,3;0
15/6/09;166;33,37;16,24;60,8;21,73;1,48;25,6;0;0;6,18;0.25;0;0
16/6/09;167;27,55;16,64;76,4;41,39;3,22;19,63;0;0;5,44;0.2532;0,8;0,8
17/6/09;168;34,04;13,9;83;17,37;1,68;27,46;0;0;6,64;0.2564;0,3;1,1
18/6/09;169;35,12;15,84;64,97;12;1,79;27,24;0;0;7,04;0.2597;0;0
19/6/09;170;35,45;16,78;50,74;13,81;1,89;30,03;0;0;7,57;0.2629;0;0
20/6/09;171;34,18;17,72;77,9;16,23;2,27;27,23;0;0;7,42;0.2662;0;0
21/6/09;172;32,77;13,36;82,7;5,9;2,27;31,48;0;0;7,76;0.2694;0;0
22/6/09;173;33,2;13,43;94,03;14,73;1,29;29,06;0;0;6,3;0.2727;1,6;1,4
23/6/09;174;34,25;14,61;91,2;15,72;1,85;31,06;0;0;7,28;0.276;0;0
24/6/09;175;31,7;11,69;89,9;13,21;2,35;32,42;0;0;7,48;0.2794;0,9;0
25/6/09;176;28,89;13,3;48,19;20,59;2,76;33,44;0;0;7,63;0.2827;0;0
26/6/09;177;27,14;10,75;68,6;20,12;2,42;32,2;0;0;6,79;0.2861;0;0
