Fecha;J;Tmax;Tmin;Rhmax;Rhmin;Uz;Rs;lluvia;Peff;ETo;fc;lluvia_esperada_0_24h;lluvia_esperada_24_48h
9/4/17;99;21,19;3,19;70,2;26,97;2,55;25,51;0;0;4,65;0.0386;1,4;0
10/4/17;100;22,53;3,19;81,3;15,63;1,75;25,97;0;0;4,53;0.04;0;0
11/4/17;101;25,87;3,46;70,1;12,75;1,96;26,19;0;0;5,23;0.0415;0;0
12/4/17;102;26,74;4,6;69,25;17,58;1,67;25,89;0;0;5,02;0.043;0;0
13/4/17;103;26,54;5,8;87,4;17,44;2,16;25,21;0;0;5,3;0.0446;0;0
14/4/17;104;26,08;7,61;67,75;21;2,27;21,37;0;0;5,11;0.0463;0,3;0
15/4/17;105;25,28;8,15;72,2;18,85;2,75;25,26;0;0;5,68;0.0481;0;0,3
16/4/17;106;25,34;8,15;86,7;26,56;1,87;24,12;0;0;4,74;0.0499;0;0,3
17/4/17;107;27,08;8,28;100;19,52;1,67;25,17;0;0;4,97;0.0518;0;0
18/4/17;108;26,88;8,21;90,9;19,79;1,98;25,73;0;0;5,28;0.0538;0;0
19/4/17;109;12,56;7,74;98,8;79,3;5,32;5,66;0;0;1,27;0.0558;0;0
20/4/17;110;13,97;4,72;91,2;46,85;6,18;19,76;0;0;3,37;0.0578;0;0
21/4/17;111;15,71;-0,5;96,3;34,37;4,78;27,21;0;0;4,16;0.0599;0;0
22/4/17;112;20,26;-0,1;96,5;19,46;2,95;22,75;0;0;4,61;0.062;0;0
23/4/17;113;24,2;1,18;87,4;11,67;1,92;28,14;0;0;5,22;0.0642;0,7;0
24/4/17;114;25,47;5,67;60,55;17,79;1,69;24,49;0;0;4,98;0.0664;0;0
25/4/17;115;23,41;8,01;83,1;32,28;2,32;21,18;1,18;0;4,49;0.0686;0;6,9
26/4/17;116;19,18;8,41;88,3;25,77;3,6;17,96;0;0;4,32;0.0708;1,7;14,8
27/4/17;117;12,36;5,66;99,2;69,41;2,87;10,76;4,73;1,63;1,77;0.0731;0;14,9
28/4/17;118;8,41;2,99;100;54,46;3,47;9,82;1,38;0;1,78;0.0754;13,3;0
29/4/17;119;9,68;6,26;100;95,3;2,81;4,17;20,09;12,33;0,72;0.0778;0;0
30/4/17;120;16,04;8,28;100;55,36;4,89;19,35;0,59;0;3,15;0.0802;0;0
1/5/17;121;17,17;2,59;94,9;26,64;2,44;28,29;0;0;4,33;0.0828;0;0
2/5/17;122;22,13;2,99;96,6;27,24;1,02;27,39;0;0;4,24;0.0854;0;0
3/5/17;123;24,26;6,6;93,3;25,02;2,1;28,46;0;0;5,27;0.0883;0;0
4/5/17;124;26,41;8,01;98,1;21,67;2,77;25,17;0;0;5,72;0.0913;0;0
5/5/17;125;24,07;10,29;96,3;36,91;4,03;21,78;0,39;0;5,08;0.0944;1;0,8
6/5/17;126;21,13;6,67;98,7;26,04;3,06;27,98;0;0;5,12;0.0978;0;0
7/5/17;127;25,6;6,47;77,1;22,74;1,4;28,91;0;0;5,18;0.1012;0;0,2
8/5/17;128;28,15;9,15;73,1;20,12;1,38;28,51;0;0;5,5;0.1049;0;0,3
9/5/17;129;28,82;10,69;78,6;19,05;2,22;26,53;0;0;6,12;0.1086;4,9;2,6
10/5/17;130;22,46;12,89;93;35,89;2,43;17,69;3,55;0,65;4,07;0.1125;17,7;5
11/5/17;131;17,65;9,95;100;53,49;3,03;15,87;8,47;4,53;3,01;0.1164;0;2,4
12/5/17;132;18,85;8,41;100;47,37;3;19,09;3,35;0,48;3,53;0.1205;5,7;0
13/5/17;133;19,86;9,15;100;39,52;2,14;20,16;0,2;0;3,76;0.1246;0;0
14/5/17;134;23,79;6,53;97,5;29,52;1,56;28,94;0;0;4,99;0.1288;0;0
15/5/17;135;26,48;9,35;84,3;25,49;1,52;26,29;0;0;5,16;0.1331;0;0
16/5/17;136;26,34;12,42;72,3;23,41;2,08;23,58;0;0;5,44;0.1374;0,3;0
17/5/17;137;26,88;9,08;86,6;17,98;2,34;25,57;0;0;5,83;0.1417;3,3;0
18/5/17;138;21,67;7,34;87,2;35,36;2,23;18,18;1,97;0;3,99;0.1461;0;0
19/5/17;139;23,33;3,46;97,9;14,69;1,77;30,19;0;0;5,34;0.1505;0;0
20/5/17;140;26,48;7,54;89,2;23,81;2,08;30,4;0;0;5,93;0.1548;0,7;0
21/5/17;141;24,74;10,09;79,7;19,46;2,99;18,04;0;0;5,29;0.1592;0;0
22/5/17;142;29,96;10,95;76,7;15,03;1,68;30,31;0;0;6,36;0.1635;0;0
23/5/17;143;27,08;9,22;77,9;21,94;2,95;30,2;0;0;6,69;0.1679;1,1;1
24/5/17;144;28,96;10,97;89;24,15;2,2;30,38;0;0;6,44;0.1721;0;0
25/5/17;145;31,57;9,22;76,7;18,78;1,45;27,93;0;0;6,01;0.1763;0;0
26/5/17;146;32,51;13,3;60,01;18,38;2,51;29,66;0;0;7,56;0.1805;0;0
27/5/17;147;28,35;13,16;74,8;37,16;3,4;28,63;0;0;6,65;0.1845;0;0
28/5/17;148;26,68;12,76;96,8;35,82;3,39;25,48;0;0;5,78;0.1885;0;0
29/5/17;149;26,21;13,57;79,4;31,73;1,42;20,66;0;0;4,53;0.1924;0;4,3
30/5/17;150;25,67;12,23;85,7;32,4;2,22;25,41;0;0;5,37;0.1961;5;1,3
31/5/17;151;27,55;12,36;94,4;28,58;2,29;26,02;2,96;0,13;5,73;0.1998;0;1,1
1/6/17;152;29,03;13,03;95,7;26,09;1,85;29,87;0;0;6,16;0.2034;0;0
2/6/17;153;32,04;12,03;87,6;18,51;2,24;29,93;0;0;7,08;0.207;0;19,9
3/6/17;154;30,77;15,11;93,2;17,51;3,03;28,73;0,2;0;7,38;0.2105;40,5;0
4/6/17;155;24,13;10,96;97,5;49,31;3,11;18,1;26,2;16,22;4,11;0.2139;0;1,5
5/6/17;156;23,53;8,68;98;26,9;1,95;30,58;0,2;0;5,45;0.2173;0,6;0
6/6/17;157;27,55;10,09;100;23,88;2,08;31,06;0;0;6,21;0.2207;0;0
