Fecha;J;Tmax;Tmin;Rhmax;Rhmin;Uz;Rs;lluvia;Peff;ETo;fc;lluvia_esperada_0_24h;lluvia_esperada_24_48h
8/4/21;98;14,37;6,14;94;55,51;3,97;16,46;0;0;2,69;0,0386;0;0
9/4/21;99;13,57;4,94;99,1;64,98;3,96;12,83;1;0;2,06;0,04;0,3;17,3
10/4/21;100;15,04;6,94;100;66,86;2,15;10,16;2,6;0;1,81;0,0415;25;0
11/4/21;101;16,99;5,33;100;54,97;1,76;12,84;21,2;13,08;2,28;0,043;0;0
12/4/21;102;17,18;3,59;94,3;38,19;1,62;23,57;0;0;3,39;0,0446;0;0
13/4/21;103;16,38;7,28;98,3;65,77;3,07;11,63;0;0;2,15;0,0463;0;0
14/4/21;104;15,44;7,88;96;58,67;4,08;15,12;0;0;2,64;0,0481;0;0
15/4/21;105;9,96;5,47;94,4;78;3,37;6,63;0;0;1,27;0,0499;2,2;0
16/4/21;106;14,91;0,85;100;44,97;1,72;15,91;1;0;2,5;0,0518;0;0
17/4/21;107;15,44;-0,96;100;29,33;1,9;25,19;0;0;3,49;0,0538;0;0
18/4/21;108;16,58;-0,49;82,2;28,52;1,74;24,97;0;0;3,66;0,0558;0;4,6
19/4/21;109;20,33;1,72;84,6;22,01;1,93;24,52;0;0;4,27;0,0578;0,1;0
20/4/21;110;20,4;7,94;93,2;30,6;2,41;20,04;0,8;0;3,99;0,0599;13,8;39,2
21/4/21;111;18,05;9,42;100;42,75;1,73;15,15;8;4,18;2,84;0,062;33,5;0
22/4/21;112;15,64;8,8;100;63,56;2,25;12,55;25,2;15,54;2,17;0,0642;0;0
23/4/21;113;12,77;7,94;100;77,7;4,07;10,53;0;0;1,63;0,0664;1;0
24/4/21;114;11,56;7,28;100;90,1;4,51;7,1;0;0;1,01;0,0686;2;0,2
25/4/21;115;14,37;7,41;100;66,25;3,98;16,44;6;2,65;2,44;0,0708;0;0
26/4/21;116;18,19;8,82;100;55,77;1,83;15,94;7,6;3,88;2,76;0,0731;3,7;0,5
27/4/21;117;18,39;6;100;54,36;1,66;17,22;1,8;0;2,87;0,0754;5,2;0
28/4/21;118;16,85;9,82;100;58,8;1,85;12,41;3,2;0,34;2,33;0,0778;1,2;0
29/4/21;119;17,32;8,48;100;51,21;2,03;13,22;0,2;0;2,58;0,0802;0;0
30/4/21;120;16,32;5,81;100;43,56;1,53;18,36;0;0;2,96;0,0828;0;0
1/5/21;121;17,19;5,14;95;28,59;2,18;21,76;0;0;3,76;0,0854;0;0
2/5/21;122;17,84;6,68;91,1;31,74;2,42;21,66;0;0;3,89;0,0883;0;0
3/5/21;123;15,18;7,94;91,2;59,14;4,51;13,85;0;0;2,72;0,0913;0;0,1
4/5/21;124;20,66;7,41;94,7;31,67;1,56;19,68;0;0;3,68;0,0944;0;0
5/5/21;125;23,95;4,8;91,1;27,31;1,13;22,14;0;0;4,03;0,0978;0;0
6/5/21;126;26,16;6,61;89,2;20,73;1,61;26,16;0;0;5,11;0,1012;0;0
7/5/21;127;27,16;7,95;83,3;21,94;1,21;27,22;0;0;5,04;0,1049;0;0
8/5/21;128;26,97;10,17;86,7;22,88;2,2;27,11;0;0;5,76;0,1086;0;3,2
9/5/21;129;24,75;11,84;90,6;36,3;2,97;17,58;1;0;4,58;0,1125;0,8;0
10/5/21;130;18,66;7,75;89,8;31,28;2,87;20,17;0,2;0;4,09;0,1164;0;0
11/5/21;131;17,33;6,62;87,6;29,26;3,65;28,78;0;0;4,82;0,1205;0,8;0
12/5/21;132;20,2;2,93;87,9;34,23;3,04;22,56;0;0;4,42;0,1246;0;0
13/5/21;133;23,01;6,01;86,6;27,51;3,06;27,05;0;0;5,45;0,1288;0;0
14/5/21;134;22,67;8,82;85,6;25,16;2,84;30,24;0;0;5,72;0,1331;0;0,7
15/5/21;135;27,96;6,62;80,2;20,6;2,12;27,39;0;0;5,95;0,1374;0;0
16/5/21;136;28,43;10,43;92,7;26,57;2,71;27,58;0;0;6,24;0,1417;0;0
17/5/21;137;26,82;12,44;91,2;26,5;1,92;28,29;0;0;5,68;0,1461;0;1,1
18/5/21;138;28,71;11,3;100;19,39;2,07;28,3;0;0;6,09;0,1505;1;0
19/5/21;139;27,76;9,42;88,6;21,41;1,84;29,55;0;0;5,94;0,1548;0;0
20/5/21;140;27,76;13,37;84,8;23,15;1,86;26,38;0;0;5,7;0,1592;0;0
21/5/21;141;30,45;10,76;84,5;12,95;1,99;27,92;0;0;6,48;0,1635;0;0,6
22/5/21;142;26,7;9,15;81,2;11,94;2,32;24,98;0;0;5,95;0,1679;21;3,1
23/5/21;143;13,98;8,35;100;78,3;2,99;2,82;18,8;11,52;1,08;0,1721;0;1,1
24/5/21;144;20,86;6,81;100;34,96;1,87;28,62;0,2;0;4,68;0,1763;0;0
25/5/21;145;22,34;7,69;98,2;47,58;2,93;29,57;0;0;4,95;0,1805;0;0
26/5/21;146;24,69;12,24;93,1;36,97;2,5;26,88;0;0;5,31;0,1845;0;0
27/5/21;147;25,16;10,03;97,6;35,43;1,83;22,77;0;0;4,63;0,1885;0;0
28/5/21;148;24,62;12,31;80,6;36,03;1,51;26,09;0;0;4,95;0,1924;0;0
