Fecha;J;Tmax;Tmin;Rhmax;Rhmin;Uz;Rs;lluvia;Peff;ETo;fc;lluvia_esperada_0_24h;lluvia_esperada_24_48h
8/4/24;99;20,4;8,62;100;31,41;2,6;23,17;0;0;4,14;0,0386;0;0
9/4/24;100;16,65;3,53;84,9;24,5;2,16;26,28;0;0;3,94;0,04;0;0
10/4/24;101;20,6;0,85;88,8;30,47;1,77;25,81;0;0;4,05;0,0415;0;0
11/4/24;102;21,47;5,74;82,6;25,9;1,68;25,91;0;0;4,29;0,043;0;0
12/4/24;103;23,35;3,67;82,9;21,54;1,25;26,54;0;0;4,28;0,0446;0;0,3
13/4/24;104;26,9;5,21;76,6;13,29;1,66;26,61;0;0;5,17;0,0463;0;4,4
14/4/24;105;25,69;5,47;70,7;12,55;1,12;27,14;0;0;4,58;0,0481;0,4;0
15/4/24;106;27,37;6,28;91,1;28,05;1,16;18,59;2,16;0;3,84;0,0499;0;0
16/4/24;107;25,22;7,56;100;24,96;1,54;27,03;0;0;4,75;0,0518;0;0
17/4/24;108;23,41;5,47;79,3;18,52;1,26;27,31;0;0;4,49;0,0538;0;0
18/4/24;109;23,41;3,53;83,1;20,33;1,23;27,73;0;0;4,47;0,0558;0;0
19/4/24;110;17,53;5,74;87;46,12;2,1;15,74;0;0;2,96;0,0578;0;0,7
20/4/24;111;22,81;3,33;95,9;19,06;1,98;27,13;0;0;4,83;0,0599;0;0
21/4/24;112;21,27;4,74;88,5;23,22;1,31;27,52;0;0;4,31;0,062;0;0
22/4/24;113;20,07;5,07;93,3;15,23;1,54;24,75;0;0;4,16;0,0642;0;0
23/4/24;114;17,53;-1,36;92,8;22,29;1,6;25,44;0;0;3,81;0,0664;0;0
24/4/24;115;19,13;-1,97;79,6;18,52;1,51;27,94;0;0;4,21;0,0686;0;0
25/4/24;116;19,53;1,19;84,4;26,51;0,96;16,26;0;0;2,93;0,0708;0;7,2
26/4/24;117;20,07;3,86;100;30,4;1,47;20,56;0;0;3,57;0,0731;0;0
27/4/24;118;15,51;3,73;99,9;46,99;2,3;13,9;0,98;0;2,61;0,0754;1,5;5,3
28/4/24;119;17,52;1,26;100;31,14;0,97;18,72;0;0;2,96;0,0778;11,7;0
29/4/24;120;11,77;7,95;100;73,5;1,08;5,84;15,29;9,25;1,22;0,0802;0;0
30/4/24;121;17,12;7,75;100;40,81;2,22;20,25;0;0;3,4;0,0828;2,9;0
1/5/24;122;15,04;5;92,6;34,37;3,27;19,76;0,2;0;3,53;0,0854;0;0
2/5/24;123;15,78;3,26;99,3;29,13;2,41;26,13;0;0;3,91;0,0883;0;0
3/5/24;124;18,93;1,46;90,8;30,74;1,53;27,88;0;0;4,17;0,0913;0;0
4/5/24;125;24,89;4,67;90,4;24,36;1,37;28,26;0;0;4,9;0,0944;0;0
5/5/24;126;23,61;7,75;80,7;36,57;1,64;21,46;0;0;4,21;0,0978;0;0
6/5/24;127;21,8;9,09;92,9;31,4;1,74;21,87;0;0;4,15;0,1012;0;0
7/5/24;128;23,48;7,69;78,5;20,73;1,37;29,36;0;0;5,03;0,1049;0;0
8/5/24;129;24,08;6,15;75;18,05;1,03;29,54;0;0;4,85;0,1086;0;0
9/5/24;130;25,56;5,47;71,3;18,86;1,27;27,76;0;0;5,04;0,1125;0;0
10/5/24;131;27,97;9,03;67,76;18,45;2,07;29,25;0;0;6,23;0,1164;1;0,8
11/5/24;132;27,04;7,75;67,36;20,06;2,24;19,07;0;0;5,23;0,1205;0;0
12/5/24;133;28,63;11,17;64,53;21,87;1,48;26,7;0;0;5,56;0,1246;0;0
13/5/24;134;28,58;10,43;70,3;22,95;1,43;25,47;0;0;5,33;0,1288;0;0
14/5/24;135;21,01;11,37;100;27,38;2,48;28,06;0,59;0;5,06;0,1331;0,2;0
15/5/24;136;19,87;7,62;76,2;21,81;1,62;27,9;0;0;4,71;0,1374;0;0
16/5/24;137;19,33;4,4;75;28,99;1,76;26,87;0;0;4,48;0,1417;0;0
17/5/24;138;22,41;7,89;70,1;31,27;1,71;24,22;0;0;4,61;0,1461;0;0
18/5/24;139;23,68;4,94;90,9;20,87;1,27;30,18;0;0;5,08;0,1505;0;0
