Fecha;J;Tmax;Tmin;Rhmax;Rhmin;Uz;Rs;lluvia;Peff;ETo;fc;lluvia_esperada_0_24h;lluvia_esperada_24_48h
8/4/22;98;17,32;4,94;95,6;40,94;3,35;23,19;0;0;3,7;0,0386;1,4;0
9/4/22;99;16,78;6,14;99,3;56,78;2,34;15,22;0;0;2,53;0,04;0;0
10/4/22;100;17,85;5,47;100;58,19;4,16;21,82;0;0;3,23;0,0415;0;0
11/4/22;101;16,25;6,47;99,7;59,54;5,65;22,07;0;0;3,1;0,043;11,3;3,5
12/4/22;102;15,57;8,21;100;51,74;1,56;15,42;7,79;4,02;2,46;0,0446;0;0
13/4/22;103;14,1;6,81;100;60,55;1,98;10,65;1,44;0;1,93;0,0463;0;0
14/4/22;104;17,38;7,68;100;54,09;1,36;16,51;0,2;0;2,62;0,0481;0;0,7
15/4/22;105;21;4,67;95,9;37,58;1,56;22,43;0;0;3,69;0,0499;0;0
16/4/22;106;25,02;6,68;91,1;18,12;2,02;25,87;0;0;5,06;0,0518;0;0
17/4/22;107;23,28;4,2;84,2;19,53;1,19;26,64;0;0;4,33;0,0538;8,6;6,5
18/4/22;108;24,35;9,36;93,6;32,21;1,54;20,33;6,56;3,09;3,98;0,0558;0;1,8
19/4/22;109;21,2;8,88;100;37,58;2,05;19,68;0,2;0;3,7;0,0578;0;0
20/4/22;110;9,88;5,54;91,4;60,03;2,78;10,51;3,9;0,94;1,88;0,0599;0;4
21/4/22;111;15,45;5,07;78,4;43,56;3,32;24,32;0;0;3,8;0,062;13,7;0
22/4/22;112;13,31;4,87;98,7;55,99;1,89;11,68;9,63;5,36;2,04;0,0642;0;0
23/4/22;113;10,97;4,8;97,9;52,64;4,86;19,63;3,08;0,23;2,68;0,0664;0;0
24/4/22;114;16,71;5,47;96,9;37,05;2,66;27,71;0;0;4,03;0,0686;0;0
25/4/22;115;20,86;2,12;92,4;23,42;1,24;28,26;0;0;4,28;0,0708;0;0
26/4/22;116;21,26;6,28;84,2;25,7;2,58;24,39;0;0;4,74;0,0731;7;11,3
27/4/22;117;13,44;6,34;100;60,37;1,26;6,16;3,08;0,23;1,45;0,0754;5,7;1,3
28/4/22;118;12,51;5,94;100;74,1;1,35;6,12;6,97;3,39;1,27;0,0778;0;0
29/4/22;119;19,53;4,67;100;39,46;2,07;25,98;0;0;4,07;0,0802;1,6;0
30/4/22;120;22,47;5,94;95,2;40,06;1,52;22,69;0,41;0;3,94;0,0828;1,1;7,6
1/5/22;121;23,01;7,01;97,7;43,95;1,52;20,59;2,46;0;3,74;0,0854;6,7;0
2/5/22;122;21,87;6,41;100;29,19;2,18;21,51;3,9;0,95;4,23;0,0883;0;11,3
3/5/22;123;15,11;9,09;100;64,31;2,54;15,1;0,2;0;2,43;0,0913;9,9;0,2
4/5/22;124;15,51;9,09;100;54,98;1,89;10,99;7,79;4,02;2,18;0,0944;0;0
5/5/22;125;21,67;6,08;100;31,41;1,44;27,22;0;0;4,42;0,0978;0;0,8
6/5/22;126;23,68;5,34;92,6;25,63;1,28;29,83;0;0;4,88;0,1012;0;0
7/5/22;127;22,94;7,55;78,1;27,85;1,4;28,67;0;0;4,85;0,1049;0;0
8/5/22;128;25,96;7,62;78,9;17,45;1,82;29,55;0;0;5,69;0,1086;0;0
9/5/22;129;24,42;8,02;78,3;26,77;2,09;28,67;0;0;5,45;0,1125;0,7;0
10/5/22;130;26,22;9,29;70,1;23,15;1,42;29,92;0;0;5,47;0,1164;0;0
11/5/22;131;26,9;9,36;77,4;20,47;1,59;29,72;0;0;5,67;0,1205;0;0
12/5/22;132;26,03;7,69;83,9;22,95;2,32;26,86;0;0;5,68;0,1246;1,1;1
