Fecha;J;Tmax;Tmin;Rhmax;Rhmin;Uz;Rs;lluvia;Peff;ETo;fc;lluvia_esperada_0_24h;lluvia_esperada_24_48h
9/4/15;99;9,02;5,06;94,3;80,4;3,98;6,38;2,01;0;1,16;0.0386;1,4;0
10/4/15;100;18,11;3,19;97,1;43,21;2,94;21,38;0;0;3,51;0.04;0;0
11/4/15;101;14,51;5,73;96,7;37,19;2,4;9,23;0;0;2,36;0.0415;0;0
12/4/15;102;18,78;7;97,4;39,79;5,06;19,08;0;0;4,01;0.043;0;0
13/4/15;103;18,45;6,2;78,6;32,01;5,51;18,42;0;0;4,64;0.0446;0;10,9
14/4/15;104;20,12;2,98;80,9;27,65;4,43;18,69;0;0;4,72;0.0463;9,1;0
15/4/15;105;17,58;6;97,2;41,67;3,8;11,92;6,63;3,14;3,1;0.0481;1,8;0
16/4/15;106;15,91;7,41;98;62,15;2,28;14,58;3,02;0,18;2,38;0.0499;0;0
17/4/15;107;19,31;4,26;99,5;41,26;1,6;22,74;0;0;3,53;0.0518;1,8;0
18/4/15;108;20,99;7,74;88,6;40,53;2,64;18,42;0,6;0;3,81;0.0538;0;0
19/4/15;109;17,84;2,79;94;32,34;2,98;24,4;0;0;4,07;0.0558;0;0
20/4/15;110;21,25;5,8;87,5;28,18;2,98;26,19;0;0;4,89;0.0578;0;5,1
21/4/15;111;18,18;6,53;92,7;44,15;5,11;22,96;0;0;4,14;0.0599;0,5;0
22/4/15;112;21,99;7,88;92,7;33,75;2,97;24,58;1,21;0;4,7;0.062;0;0
23/4/15;113;23,87;4,8;90;15,3;1,86;24,23;0;0;4,79;0.0642;0;1,5
24/4/15;114;24,73;6,14;84;19,26;1,84;22,7;0;0;4,72;0.0664;0;0
25/4/15;115;19,39;8,74;83,1;46,03;2,96;18,78;0;0;3,76;0.0686;6,8;0
26/4/15;116;18,51;7,07;97,1;46,23;3,12;12,05;4,82;1,71;2,95;0.0708;0;0
27/4/15;117;15,65;6,47;95,9;49,26;5,32;17,15;0,8;0;3,25;0.0731;0;0
28/4/15;118;19,59;5,06;95,6;32,41;2,29;26,8;0;0;4,37;0.0754;0;0
29/4/15;119;21,12;5,46;92,5;25,7;2,75;25,04;0;0;4,78;0.0778;0;0
30/4/15;120;22,86;4,92;89;27,78;2;27,22;0;0;4,85;0.0802;0;0
1/5/15;121;25,21;6,26;88,4;25,63;2,99;25,01;0;0;5,56;0.0828;0;0
2/5/15;122;29,43;8,61;90,1;27,97;1,5;26,55;0;0;5,33;0.0854;0;0
3/5/15;123;27,28;12,09;84,7;23,08;1,91;18,78;0;0;4,75;0.0883;0;0
4/5/15;124;30,97;12,22;68,6;12,81;2,81;18,32;0;0;6,46;0.0913;0;0
5/5/15;125;21,93;9,02;75,5;34,02;3,56;19,48;0;0;4,8;0.0944;0;0
6/5/15;126;23,13;5,33;84,8;11,41;2,4;28,78;0;0;5,64;0.0978;0;1
7/5/15;127;29,03;7,61;83,8;14,36;2,62;28,67;0;0;6,74;0.1012;0,8;0
8/5/15;128;24,47;6,94;93,3;31,87;3,66;28,52;0;0;5,81;0.1049;0;0
9/5/15;129;27,35;7,81;88,8;17,64;1,36;28,58;0;0;5,38;0.1086;0,2;0
10/5/15;130;28,96;11,83;70,1;13,68;2,82;29,25;0;0;7,1;0.1125;0;0,9
11/5/15;131;30,9;6,07;78,6;9,99;2,14;29,56;0;0;6,79;0.1164;0;0
12/5/15;132;33,71;8,15;70,6;11,07;1,3;29,16;0;0;6,18;0.1205;0;0,2
13/5/15;133;36,59;11,83;72,2;8,12;1,48;25,42;0;0;6,42;0.1246;0;0
14/5/15;134;35,26;12,03;56,33;8,18;3,6;27,63;0;0;9,2;0.1288;0;0
15/5/15;135;25,15;8,81;60,1;19,26;3,58;30,3;0;0;6,94;0.1331;0;0
16/5/15;136;26,88;4,73;75,4;14,42;2,39;30,61;0;0;6,43;0.1374;0;0
17/5/15;137;28,35;9,89;62,38;13,95;1,7;30,27;0;0;6,19;0.1417;0;15,8
18/5/15;138;29,03;7,54;73,9;14,82;1,78;29,29;0;0;6,15;0.1461;13,9;0
19/5/15;139;22,27;9,42;94,5;41,94;2,21;9,89;10,25;5,82;3,03;0.1505;0;0
20/5/15;140;21,46;5,39;84,7;17,91;2,08;30,45;0;0;5,33;0.1548;0;0
