Fecha,J,Tmin,Tmax,Uz,Rs,lluvia,fc,ETo,ETc,Pe,Ks,RAW,DND,De_end,RSWC,fase,prioridad,pct_dnd,decision,plan_pulsos,deuda_mm,dias_sin_riego,riego_neto_programado_mm,riego_bruto_programado_mm,riego_neto_aplicado_mm,riego_bruto_aplicado_mm,perdidas_sistema_mm,eficiencia_riego
,100,6.34,14.44,2.29,6.93,0.2,0.0386,1.7358297433811745,0.6937584298610981,0.0,1.0,53.0566810264753,0.6937584298610981,3.200464493667411,0.6479545454545456,Floracion,0.194,65.0,POSPONER_DEUDA,null,0.4509429794097138,1,0.0,0.0,0.0,0.0,0.0,0.9
,101,8.62,15.5,2.02,11.84,0.4,0.04,2.345364721330423,1.0332958391775449,0.0,1.0,50.61854111467831,1.0332958391775449,3.357320281161858,0.6391056956273405,Floracion,0.194,65.0,POSPONER_DEUDA,null,1.122585274875118,2,0.0,0.0,0.0,0.0,0.0,0.9
,102,8.35,19.12,2.78,17.37,0.0,0.0415,3.718280709480344,1.9507040393211714,0.0,1.0,45.12687716207863,1.9507040393211714,4.291863829332548,0.6285289475861392,Floracion,0.194,65.0,POSPONER_DEUDA,null,2.3905429004338794,3,0.0,0.0,0.0,0.0,0.0,0.9
,103,6.61,18.12,3.71,21.73,0.0,0.043,3.817779371151485,1.9798974088068748,0.0,1.0,44.72888251539406,1.9798974088068748,5.247198991794973,0.5924706897296337,Floracion,0.194,65.0,POSPONER_DEUDA,null,3.677476216158348,4,0.0,0.0,0.0,0.0,0.0,0.9
,104,6.47,18.58,1.8,15.87,0.0,0.0446,2.757391302030414,1.1554717150960097,0.0,1.0,48.97043479187835,1.1554717150960097,5.89114418451134,0.5558203419372507,Floracion,0.194,65.0,POSPONER_DEUDA,null,4.428532830970754,5,0.0,0.0,0.0,0.0,0.0,0.9
,105,9.82,14.04,3.58,7.85,4.6,0.0463,1.4904048334513516,0.5379614719890262,1.1999999999999997,1.0,54.0383806661946,-0.6620385280109735,1.624604852498817,0.5337650838242283,Floracion,0.194,65.0,POSPONER_DEUDA,null,3.7664943029597806,6,0.0,0.0,0.0,0.0,0.0,0.9
,106,9.22,16.25,3.62,8.81,2.4,0.0481,1.9093215976054578,0.7776824359408974,0.0,1.0,52.36271360957817,0.7776824359408974,0.441711447668071,0.6537372465166322,Floracion,0.194,65.0,POSPONER_DEUDA,null,4.271987886321364,7,0.0,0.0,0.0,0.0,0.0,0.9
,107,9.15,19.12,2.98,16.78,0.0,0.0499,2.9511876801615364,1.2536938030356752,0.0,1.0,48.19524927935386,1.2536938030356752,1.1327074105182688,0.6928290620244499,Floracion,0.194,65.0,POSPONER_DEUDA,null,5.086888858294553,8,0.0,0.0,0.0,0.0,0.0,0.9
,108,9.35,19.92,1.84,16.53,0.0,0.0518,3.0401104629489555,1.3630816133734591,0.0,1.0,47.83955814820418,1.3630816133734591,1.8560742417732876,0.6689582363549761,Floracion,0.194,65.0,REGAR_COMPLETO,"{""num_pulsos"": 2, ""mm_por_pulso"": 2.99, ""horas_por_pulso"": 3.32, ""descanso_entre_pulsos_h"": 0.5, ""horas_totales_aprox"": 7.14}",0.0,0,5.98,6.64,0.0,0.0,0.0,0.9
,109,9.35,20.59,2.72,16.66,0.6,0.0538,3.065298480710425,1.2985399339100958,0.0,1.0,47.7388060771583,1.2985399339100958,0.7163121985526054,0.6432198329027317,Floracion,0.194,65.0,POSPONER_DEUDA,null,0.8440509570415623,1,0.0,0.0,5.98,6.64,0.66,0.9
,110,9.42,19.92,1.87,14.31,0.2,0.0558,2.7858414703107877,1.2076927840031848,0.0,1.0,48.85663411875685,1.2076927840031848,1.1715379106687114,0.8295748303538427,Floracion,0.194,65.0,POSPONER_DEUDA,null,1.6290512666436325,2,0.0,0.0,0.0,0.0,0.0,0.9
,111,7.08,16.98,3.22,20.34,0.0,0.0578,3.143488528405768,1.3875278802118953,0.0,1.0,47.42604588637693,1.3875278802118953,1.9145944029755317,0.8111601686697089,Floracion,0.194,65.0,POSPONER_DEUDA,null,2.5309443887813643,3,0.0,0.0,0.0,0.0,0.0,0.9
,112,6.54,12.17,3.8,7.65,0.2,0.0599,1.6830167627324537,0.7005304774318836,0.0,1.0,53.267932949070186,0.7005304774318836,2.105131429397076,0.7849083882150846,Floracion,0.194,65.0,POSPONER_DEUDA,null,2.986289199112089,4,0.0,0.0,0.0,0.0,0.0,0.9
,113,8.55,19.59,2.92,14.84,6.8,0.062,3.048867638676002,1.415635261863431,2.8499999999999996,1.0,47.804529445296,-1.4343647381365687,0.7314818305167113,0.7760358874729372,Floracion,0.194,65.0,POSPONER_DEUDA,null,1.55192446097552,5,0.0,0.0,0.0,0.0,0.0,0.9
,114,8.48,19.12,2.6,13.76,0.0,0.0642,2.759265153274343,1.2209019175549614,0.0,1.0,48.96293938690263,1.2209019175549614,1.383033354132248,0.883461757842124,Floracion,0.194,65.0,POSPONER_DEUDA,null,2.345510707386245,6,0.0,0.0,0.0,0.0,0.0,0.9
,115,8.62,19.86,3.13,21.18,0.0,0.0664,3.724439838693637,1.7595265259322792,0.0,1.0,45.10224064522546,1.7595265259322792,2.280540894550617,0.860380027597897,Floracion,0.194,65.0,POSPONER_DEUDA,null,3.4892029492422267,7,0.0,0.0,0.0,0.0,0.0,0.9
,116,7.74,19.39,1.69,19.89,1.4,0.0686,3.351151843101271,1.5345500817050457,0.0,1.0,46.595392627594926,1.5345500817050457,1.6794986142558868,0.8274351383424714,Floracion,0.194,65.0,POSPONER_DEUDA,null,4.486660502350507,8,0.0,0.0,0.0,0.0,0.0,0.9
,117,9.49,19.99,2.23,14.09,0.2,0.0708,2.818953400289282,1.230565535028445,0.0,1.0,48.724186398842875,1.230565535028445,2.141112976759476,0.8300777204332974,Floracion,0.194,65.0,REGAR_PARCIAL_NO_CRITICO,"{""num_pulsos"": 1, ""mm_por_pulso"": 3.46, ""horas_por_pulso"": 3.85, ""descanso_entre_pulsos_h"": 0.0, ""horas_totales_aprox"": 3.85}",1.8265281001189964,0,3.46,3.84,0.0,0.0,0.0,0.9
,118,8.08,16.51,2.13,12.79,2.0,0.0731,2.416671035112428,1.0358058151692646,0.0,1.0,50.33331585955029,1.0358058151692646,0.5636355648691675,0.8112754815901968,Floracion,0.194,65.0,POSPONER_DEUDA,null,2.4998018799790183,1,0.0,0.0,3.46,3.84,0.38,0.9
,119,6.0,17.92,2.75,18.54,0.0,0.0754,3.2881361644889466,1.6011985756611549,0.0,1.0,46.84745534204421,1.6011985756611549,1.36199632377402,0.9149984784092849,Floracion,0.194,65.0,POSPONER_DEUDA,null,3.540580954158769,2,0.0,0.0,0.0,0.0,0.0,0.9
,120,4.4,20.39,2.81,23.59,0.0,0.0778,4.1304733394293205,2.12162492058497,0.0,1.0,43.47810664228272,2.12162492058497,2.382589312055895,0.8851597985400442,Floracion,0.194,65.0,POSPONER_DEUDA,null,4.919637152539,3,0.0,0.0,0.0,0.0,0.0,0.9
