Fecha,J,Tmin,Tmax,Uz,Rs,lluvia,fc,ETo,ETc,Pe,Ks,RAW,DND,De_end,RSWC,fase,prioridad,pct_dnd,decision,plan_pulsos,deuda_mm,dias_sin_riego,riego_neto_programado_mm,riego_bruto_programado_mm,riego_neto_aplicado_mm,riego_bruto_aplicado_mm,perdidas_sistema_mm,eficiencia_riego
,99,0.57,14.56,3.55,20.12,0.0,0.0386,3.1162019501819573,1.5841931491468508,0.0,1.0,47.535192199272174,1.5841931491468508,3.7753801568696668,0.6479545454545456,Floracion,0.194,65.0,POSPONER_DEUDA,null,1.0297255469454532,1,0.0,0.0,0.0,0.0,0.0,0.9
,100,7.8,15.91,3.86,13.98,0.0,0.04,2.524742272522962,1.104896195303645,0.0,1.0,49.90103090990816,1.104896195303645,4.373587255447373,0.6185445444404133,Floracion,0.194,65.0,POSPONER_DEUDA,null,1.7479080738928223,2,0.0,0.0,0.0,0.0,0.0,0.9
,101,5.73,16.97,3.8,16.76,0.0,0.0415,2.980772178885813,1.41793462310684,0.0,1.0,48.076911284456756,1.41793462310684,5.098458252751231,0.5975899485602703,Floracion,0.194,65.0,POSPONER_DEUDA,null,2.6695655789122683,3,0.0,0.0,0.0,0.0,0.0,0.9
,102,4.12,17.84,2.58,25.89,0.0,0.043,3.885611275927156,1.9831203082816664,0.0,1.0,44.45755489629138,1.9831203082816664,6.065441431128377,0.5710285662191804,Floracion,0.194,65.0,POSPONER_DEUDA,null,3.9585937792953514,4,0.0,0.0,0.0,0.0,0.0,0.9
,103,1.24,23.26,1.86,27.06,0.0,0.0446,4.404066482798062,2.1771274543862194,0.0,0.9356707668029444,42.383734068807755,2.1771274543862194,7.161598804834015,0.534240762242167,Floracion,0.194,65.0,REGAR_COMPLETO,"{""num_pulsos"": 2, ""mm_por_pulso"": 2.69, ""horas_por_pulso"": 2.99, ""descanso_entre_pulsos_h"": 0.5, ""horas_totales_aprox"": 6.47}",0.0,0,5.38,5.98,0.0,0.0,0.0,0.9
,104,5.53,23.4,3.67,26.0,0.0,0.0463,4.92325032456778,2.6001616379682875,0.0,1.0,40.30699870172888,2.6001616379682875,3.020304365921527,0.4935875310084201,Floracion,0.194,65.0,POSPONER_DEUDA,null,1.690105064679387,1,0.0,0.0,5.38,5.98,0.6,0.9
,105,6.6,25.4,1.46,24.82,0.0,0.0481,4.23064342710832,2.0090897128752587,0.0,1.0,43.077426291566724,2.0090897128752587,4.046693625995863,0.6876780216608736,Floracion,0.194,65.0,POSPONER_DEUDA,null,2.996013378048305,2,0.0,0.0,0.0,0.0,0.0,0.9
,106,8.35,26.54,1.25,26.31,0.0,0.0499,4.430072823650857,2.1121041562611937,0.0,1.0,42.27970870539657,2.1121041562611937,5.122319080387859,0.6500481755823374,Floracion,0.194,65.0,POSPONER_DEUDA,null,4.368881079618081,3,0.0,0.0,0.0,0.0,0.0,0.9
,107,10.09,28.42,1.45,27.04,0.0,0.0518,4.896628628242775,2.389255795500925,0.0,0.9359730673713,40.41348548702891,2.389255795500925,6.333158741757439,0.6105150282220614,Floracion,0.194,65.0,REGAR_COMPLETO,"{""num_pulsos"": 2, ""mm_por_pulso"": 2.96, ""horas_por_pulso"": 3.29, ""descanso_entre_pulsos_h"": 0.5, ""horas_totales_aprox"": 7.08}",0.0018973466936822447,0,5.92,6.58,0.0,0.0,0.0,0.9
,108,7.47,28.02,1.57,27.22,0.0,0.0538,4.926604637157833,2.5807032283748716,0.0,1.0,40.293581451368674,2.5807032283748716,1.6467066307142835,0.5658400252157633,Floracion,0.194,65.0,POSPONER_DEUDA,null,1.6793544451373488,1,0.0,0.0,5.92,6.58,0.66,0.9
