Fecha,J,Tmin,Tmax,Uz,Rs,lluvia,fc,pe_prevista_0_24h,pe_prevista_24_48h,ETo,ETc,Pe,Ks,RAW,DND,De_end,RSWC,fase,prioridad,pct_dnd,decision,plan_pulsos,deuda_mm,dias_sin_riego,riego_neto_programado_mm,riego_bruto_programado_mm,riego_neto_aplicado_mm,riego_bruto_aplicado_mm,perdidas_sistema_mm,eficiencia_riego
,260,11.17,29.76,0.97,22.4,0.0,0.3718,0.0,3.0749999999999997,3.7472593584135163,2.109554199687298,0.0,0.7610472965284469,45.01096256634594,2.109554199687298,2.3442308896639124,0.6219239398678229,PostCosecha,0.469,43.31,POSPONER_DEUDA,null,1.696809976950556,2,0.0,0.0,0.0,0.0,0.0,0.9
,261,11.64,25.2,2.01,21.92,0.0,0.3676,1.5,0.0,3.9984918963210383,2.0885171674726326,0.0,0.7097140244146716,44.006032414715854,2.0885171674726326,3.335539103318669,0.5820764307146264,PostCosecha,0.5,45.0,POSPONER_DEUDA,null,2.6366427023132406,3,0.0,0.0,0.0,0.0,0.0,0.9
,262,14.64,21.6,2.11,14.89,2.44,0.3632,0.0,0.0,2.725204313061155,1.2398800622212385,0.0,0.787633461988395,49.099182747755385,1.2398800622212385,1.518139343845871,0.54230385218336,PostCosecha,0.392,39.2,POSPONER_DEUDA,null,3.1226756867039662,4,0.0,0.0,0.0,0.0,0.0,0.9
,263,12.83,17.73,1.0,5.03,1.01,0.3585,0.0,2.7750000000000004,1.2105572145249055,0.49053075704970894,0.0,0.8889234068703715,55.15777114190038,0.49053075704970894,0.7675353135587093,0.5733297236744399,PostCosecha,0.198,25.0,POSPONER_DEUDA,null,3.2453083759663937,5,0.0,0.0,0.0,0.0,0.0,0.9
,264,13.23,23.14,1.69,12.51,0.0,0.3537,0.45000000000000007,0.0,2.4379275647338727,1.1000009065443994,0.0,0.7913451796178611,50.24828974106451,1.1000009065443994,1.3236068009887099,0.5865185477577359,PostCosecha,0.381,38.59,POSPONER_DEUDA,null,3.6697987258018774,6,0.0,0.0,0.0,0.0,0.0,0.9
,265,15.71,25.29,1.49,10.22,1.83,0.3488,0.0,0.0,2.4625954991808725,1.2184441958257408,0.0,0.8044226258335267,50.14961800327651,1.2184441958257408,0.5820313217935997,0.5653122662319996,PostCosecha,0.341,36.25,POSPONER_DEUDA,null,4.111484746788708,7,0.0,0.0,0.0,0.0,0.0,0.9
,266,10.9,24.54,0.79,16.76,0.0,0.3437,0.0,0.0,2.6946703440749116,1.2690259764629201,0.0,0.7657215574512893,49.221318623700355,1.2690259764629201,1.2134185796883998,0.5831932049773202,PostCosecha,0.456,42.61,REGAR_COMPLETO,"{""num_pulsos"": 2, ""mm_por_pulso"": 2.33, ""horas_por_pulso"": 2.58, ""descanso_entre_pulsos_h"": 0.5, ""horas_totales_aprox"": 5.67}",0.0,0,4.66,5.18,0.0,0.0,0.0,0.9
,267,9.49,23.81,1.04,18.8,0.0,0.3384,0.0,0.0,2.942369142919556,1.6024511294406933,0.0,0.9065825679604427,48.23052342832178,1.6024511294406933,0.7064775713022707,0.558784934988962,PostCosecha,0.194,25.0,POSPONER_DEUDA,null,0.0,1,0.0,0.0,4.66,5.18,0.52,0.9
,268,8.15,22.54,1.5,13.09,0.0,0.333,0.0,1.5,2.669729169949958,1.496068792809039,0.0,0.8944716432927974,49.321083320200174,1.496068792809039,1.358113389739466,0.6694265125803339,PostCosecha,0.196,25.0,POSPONER_DEUDA,null,0.37401719820225976,2,0.0,0.0,0.0,0.0,0.0,0.9
,269,12.97,22.54,1.81,12.33,0.0,0.3275,0.375,0.0,2.5414285723402346,1.2283552455896705,0.0,0.8737996799412996,49.834285710639065,1.2283552455896705,1.9463316853325856,0.6412874506988863,PostCosecha,0.203,25.0,POSPONER_DEUDA,null,0.6811060095996774,3,0.0,0.0,0.0,0.0,0.0,0.9
,270,16.39,27.22,3.27,15.83,0.2,0.3219,0.0,0.0,4.007922484168777,2.159113743434971,0.0,0.7639682096481258,43.96831006332489,2.159113743434971,2.7477725108313567,0.6178502469143001,PostCosecha,0.461,42.87,POSPONER_DEUDA,null,1.6067180714102494,4,0.0,0.0,0.0,0.0,0.0,0.9
,271,12.24,22.07,2.24,20.42,0.0,0.3162,0.0,0.0,3.4250020865031767,1.7609653960433496,0.0,0.7569331430851394,46.29999165398729,1.7609653960433496,3.58911945837965,0.5814072570504439,PostCosecha,0.48,43.94,POSPONER_DEUDA,null,2.380486266431697,5,0.0,0.0,0.0,0.0,0.0,0.9
,272,3.06,21.99,0.76,20.96,0.0,0.3104,0.0,0.0,2.6807765933145005,1.4472300967182015,0.0,0.7666397719975555,49.276893626742,1.4472300967182015,4.2609824961091425,0.5478866635104616,PostCosecha,0.453,42.47,POSPONER_DEUDA,null,2.995124888507917,6,0.0,0.0,0.0,0.0,0.0,0.9
