Fecha,J,Tmin,Tmax,Uz,Rs,lluvia,fc,ETo,ETc,Pe,Ks,RAW,DND,De_end,RSWC,fase,prioridad,pct_dnd,decision,plan_pulsos,deuda_mm,dias_sin_riego,riego_neto_programado_mm,riego_bruto_programado_mm,riego_neto_aplicado_mm,riego_bruto_aplicado_mm,perdidas_sistema_mm,eficiencia_riego
,99,-1.26,12.12,5.31,24.35,0.0,0.0386,3.718771242089866,2.2227747714562107,0.0,1.0,45.12491503164054,2.2227747714562107,3.9668805229433652,0.6479545454545456,Floracion,0.194,65.0,POSPONER_DEUDA,null,1.444803601446537,1,0.0,0.0,0.0,0.0,0.0,0.9
,100,-2.6,14.54,5.29,22.67,0.6,0.04,4.04356640587906,2.414020026299898,0.0,1.0,43.82573437648376,2.414020026299898,4.418207788471921,0.6076225681644686,Floracion,0.194,65.0,POSPONER_DEUDA,null,3.013916618541471,2,0.0,0.0,0.0,0.0,0.0,0.9
,101,1.23,16.15,3.8,22.17,0.0,0.0415,3.795978677110908,2.0407926709726754,0.0,1.0,44.81608529155637,2.0407926709726754,5.380500805479178,0.5773107774607497,Floracion,0.194,65.0,POSPONER_DEUDA,null,4.34043185467371,3,0.0,0.0,0.0,0.0,0.0,0.9
,102,0.36,18.27,2.23,25.37,0.0,0.043,3.8020227411369936,1.9035487769333266,0.0,0.9767121374636489,44.79190903545203,1.9035487769333266,6.324343988884001,0.5397060367610177,Floracion,0.194,65.0,REGAR_COMPLETO,"{""num_pulsos"": 2, ""mm_por_pulso"": 2.79, ""horas_por_pulso"": 3.1, ""descanso_entre_pulsos_h"": 0.5, ""horas_totales_aprox"": 6.7}",0.0,0,5.58,6.2,0.0,0.0,0.0,0.9
,103,3.77,20.42,2.17,25.19,0.0,0.0446,4.155604263814228,2.1875773142184594,0.0,1.0,43.37758294474309,2.1875773142184594,1.7891849218783746,0.5042736169594284,Floracion,0.194,65.0,POSPONER_DEUDA,null,1.4219252542419987,1,0.0,0.0,5.58,6.2,0.62,0.9
,104,2.9,19.22,2.68,19.54,0.0,0.0463,3.5708180949802224,1.8123397915337178,0.0,1.0,45.71672762007911,1.8123397915337178,2.6753559777775258,0.7149613596158737,Floracion,0.194,65.0,POSPONER_DEUDA,null,2.5999461187389152,2,0.0,0.0,0.0,0.0,0.0,0.9
,105,4.84,12.87,5.37,19.82,0.0,0.0481,3.907392104197155,2.3509579908026463,0.0,1.0,44.370431583211385,2.3509579908026463,3.6912779248687864,0.681322639292306,Floracion,0.194,65.0,POSPONER_DEUDA,null,4.1280688127606355,3,0.0,0.0,0.0,0.0,0.0,0.9
,106,-0.32,12.6,5.39,22.64,0.0,0.0499,3.727371501369569,2.238479259997222,0.0,1.0,45.09051399452172,2.238479259997222,4.6603945152248745,0.6387165659232958,Floracion,0.194,65.0,REGAR_COMPLETO,"{""num_pulsos"": 2, ""mm_por_pulso"": 2.79, ""horas_por_pulso"": 3.1, ""descanso_entre_pulsos_h"": 0.5, ""horas_totales_aprox"": 6.7}",0.003080331758829935,0,5.58,6.2,0.0,0.0,0.0,0.9
,107,-1.73,18.49,4.55,22.11,0.0,0.0518,3.9384633923120167,2.087868011658353,0.0,1.0,44.246146430751935,2.087868011658353,0.9907877404136107,0.5981350524691811,Floracion,0.194,65.0,POSPONER_DEUDA,null,1.3601945393367594,1,0.0,0.0,5.58,6.2,0.62,0.9
,108,8.31,18.09,6.91,19.03,0.0,0.0538,4.3705294547552205,2.659417858963318,0.0,1.0,42.51788218097912,2.659417858963318,2.127125398649968,0.7728886929725798,Floracion,0.194,65.0,POSPONER_DEUDA,null,3.088816147662916,2,0.0,0.0,0.0,0.0,0.0,0.9
,109,2.22,17.22,4.6,24.9,0.0,0.0558,4.376019492264982,2.542311214107695,0.0,1.0,42.49592203094007,2.542311214107695,3.2639017238675216,0.7247917202562434,Floracion,0.194,65.0,POSPONER_DEUDA,null,4.741318436832918,3,0.0,0.0,0.0,0.0,0.0,0.9
,110,2.96,18.02,4.13,24.01,0.0,0.0578,4.216233520925789,2.3362379435105405,0.0,1.0,43.13506591629685,2.3362379435105405,4.339733748106276,0.6784236057076991,Floracion,0.194,65.0,REGAR_COMPLETO,"{""num_pulsos"": 2, ""mm_por_pulso"": 3.0, ""horas_por_pulso"": 3.33, ""descanso_entre_pulsos_h"": 0.5, ""horas_totales_aprox"": 7.17}",0.0,0,6.0,6.67,0.0,0.0,0.0,0.9
,111,7.58,21.42,3.54,24.13,0.0,0.0599,4.624009869451973,2.448410358010413,0.0,1.0,41.50396052219211,2.448410358010413,1.1602714918317194,0.6355734830843615,Floracion,0.194,65.0,POSPONER_DEUDA,null,1.5914667327067684,1,0.0,0.0,6.0,6.67,0.67,0.9
,112,8.12,24.04,2.42,26.6,0.0,0.062,5.0536260044072465,2.805523679859573,0.0,1.0,39.78549598237102,2.805523679859573,2.4492414517246397,0.804441209162022,Floracion,0.194,65.0,POSPONER_DEUDA,null,3.4150571246154913,2,0.0,0.0,0.0,0.0,0.0,0.9
,113,3.9,22.43,1.94,22.33,0.0,0.0642,3.913090275177114,1.9057049086286102,0.0,1.0,44.347638899291546,1.9057049086286102,3.4022926226478356,0.7530065492464525,Floracion,0.194,65.0,POSPONER_DEUDA,null,4.653765315224088,3,0.0,0.0,0.0,0.0,0.0,0.9
,114,5.38,19.29,4.34,23.09,0.0,0.0664,4.758593343684826,2.77542427717182,0.0,1.0,40.9656266252607,2.77542427717182,4.6368975195892315,0.717471260652381,Floracion,0.194,65.0,REGAR_COMPLETO,"{""num_pulsos"": 2, ""mm_por_pulso"": 3.0, ""horas_por_pulso"": 3.33, ""descanso_entre_pulsos_h"": 0.5, ""horas_totales_aprox"": 7.17}",0.0,0,6.0,6.67,0.0,0.0,0.0,0.9
,115,2.5,21.76,2.06,28.03,0.0,0.0686,4.662358984029261,2.637840015682739,0.0,1.0,41.35056406388296,2.637840015682739,1.1953773115317061,0.6669008774355374,Floracion,0.194,65.0,POSPONER_DEUDA,null,1.7145960101937803,1,0.0,0.0,6.0,6.67,0.67,0.9
,116,6.45,24.91,2.24,27.77,0.0,0.0708,5.241445057453019,2.9702077147928287,0.0,1.0,39.03421977018793,2.9702077147928287,2.539246486234836,0.8343851773833162,Floracion,0.194,65.0,POSPONER_DEUDA,null,3.645231024809119,2,0.0,0.0,0.0,0.0,0.0,0.9
,117,6.72,25.71,2.76,27.1,0.0,0.0731,5.626815227480609,3.3106002271395867,0.0,1.0,37.49273909007756,3.3106002271395867,4.001394382462946,0.7800913500158975,Floracion,0.194,65.0,REGAR_COMPLETO,"{""num_pulsos"": 2, ""mm_por_pulso"": 2.9, ""horas_por_pulso"": 3.22, ""descanso_entre_pulsos_h"": 0.5, ""horas_totales_aprox"": 6.94}",0.0,0,5.8,6.44,0.0,0.0,0.0,0.9
,118,4.3,27.38,2.31,28.7,0.0,0.0754,5.804156992623906,3.4537249382050503,0.0,1.0,36.78337202950438,3.4537249382050503,1.5090808180822155,0.7198507481465848,Floracion,0.194,65.0,POSPONER_DEUDA,null,2.244921209833283,1,0.0,0.0,5.8,6.44,0.64,0.9
,119,5.58,27.52,3.75,28.24,0.0,0.0778,6.871653048014637,4.267069575459486,0.0,1.0,32.51338780794145,4.267069575459486,3.2957106105660214,0.8524043771344362,Floracion,0.194,65.0,POSPONER_DEUDA,null,5.018516433881949,2,0.0,0.0,0.0,0.0,0.0,0.9
,120,8.52,28.12,3.52,25.05,0.0,0.0802,6.3411264854127465,3.7354514638910583,0.0,0.996705593288697,34.63549405834902,3.7354514638910583,4.94238704902616,0.775514585379932,Floracion,0.194,65.0,POSPONER_LLUVIA,null,6.0,3,0.0,0.0,0.0,0.0,0.0,0.9
,121,8.26,28.39,3.04,23.88,0.0,0.0828,5.8181891652691915,3.220299825371186,0.0,0.9706186430230938,36.72724333892324,3.220299825371186,6.425450054321182,0.7075672422611956,Floracion,0.194,65.0,REGAR_COMPLETO,"{""num_pulsos"": 2, ""mm_por_pulso"": 3.0, ""horas_por_pulso"": 3.33, ""descanso_entre_pulsos_h"": 0.5, ""horas_totales_aprox"": 7.17}",0.0,0,6.0,6.67,0.0,0.0,0.0,0.9
,122,12.74,22.7,1.95,10.01,9.6,0.0854,2.7200882069387124,1.234743986224712,4.949999999999999,1.0,49.11964717224515,-3.7152560137752872,0.6436523300023996,0.6485011483082226,Floracion,0.194,65.0,POSPONER_DEUDA,null,0.0,1,0.0,0.0,6.0,6.67,0.67,0.9
,123,11.0,23.57,2.44,24.74,0.0,0.0883,4.842194406085021,2.664205872436073,0.0,1.0,40.63122237565992,2.664205872436073,1.8662146586854282,0.9357056366138461,Floracion,0.194,65.0,POSPONER_DEUDA,null,1.7317338170834475,2,0.0,0.0,0.0,0.0,0.0,0.9
,124,9.79,24.38,2.9,19.5,0.0,0.0913,4.888638739407971,2.900502126445086,0.0,1.0,40.44544504236812,2.900502126445086,3.1346492885337414,0.8868732184028809,Floracion,0.194,65.0,POSPONER_DEUDA,null,3.6170601992727534,3,0.0,0.0,0.0,0.0,0.0,0.9
