Fecha,J,Tmin,Tmax,Uz,Rs,lluvia,fc,ETo,ETc,Pe,Ks,RAW,DND,De_end,RSWC,fase,prioridad,pct_dnd,decision,plan_pulsos,deuda_mm,dias_sin_riego,riego_neto_programado_mm,riego_bruto_programado_mm,riego_neto_aplicado_mm,riego_bruto_aplicado_mm,perdidas_sistema_mm,eficiencia_riego
,100,0.77,16.57,3.12,25.44,0.0,0.0386,3.7927682004329664,1.9643182322789399,0.0,1.0,44.82892719826814,1.9643182322789399,3.9497543486162034,0.6479545454545456,Floracion,0.194,65.0,POSPONER_DEUDA,null,1.2768068509813109,1,0.0,0.0,0.0,0.0,0.0,0.9
,101,2.52,16.98,3.62,16.93,1.61,0.04,3.1865112835592213,1.5976032695435922,0.0,1.0,47.25395486576311,1.5976032695435922,3.1286094107105145,0.6115776615777517,Floracion,0.194,65.0,POSPONER_DEUDA,null,2.3152489761846455,2,0.0,0.0,0.0,0.0,0.0,0.9
,102,5.39,14.09,2.8,19.03,2.01,0.0415,2.6511008931919493,1.0938755139511889,0.0,1.0,49.3955964272322,1.0938755139511889,1.7354374327632067,0.6180904334920941,Floracion,0.194,65.0,POSPONER_DEUDA,null,3.026268060252918,3,0.0,0.0,0.0,0.0,0.0,0.9
,103,5.39,15.77,2.74,10.35,2.61,0.043,2.2977330613210505,1.0498701191287092,0.0,1.0,50.8090677547158,1.0498701191287092,0.5513470286325063,0.6423803249284037,Floracion,0.194,65.0,POSPONER_DEUDA,null,3.7086836376865793,4,0.0,0.0,0.0,0.0,0.0,0.9
,104,4.93,15.18,3.9,18.73,0.0,0.0446,2.985921965507222,1.4217220440847265,0.0,1.0,48.05631213797111,1.4217220440847265,1.2770762222537229,0.6813258720418293,Floracion,0.194,65.0,POSPONER_DEUDA,null,4.632802966341652,5,0.0,0.0,0.0,0.0,0.0,0.9
,105,1.18,20.25,1.65,25.74,0.0,0.0463,3.7393321166739355,1.7487926978509651,0.0,1.0,45.042671533304265,1.7487926978509651,2.180221619541073,0.6547018512441996,Floracion,0.194,65.0,REGAR_COMPLETO,"{""num_pulsos"": 2, ""mm_por_pulso"": 2.88, ""horas_por_pulso"": 3.21, ""descanso_entre_pulsos_h"": 0.5, ""horas_totales_aprox"": 6.91}",0.009518219944779638,0,5.76,6.4,0.0,0.0,0.0,0.9
,106,3.86,22.13,2.74,25.48,0.0,0.0481,4.61034121763918,2.544707941665771,0.0,1.0,41.55863512944328,2.544707941665771,1.1777243657129288,0.6218722798836079,Floracion,0.194,65.0,POSPONER_DEUDA,null,1.6635783820275307,1,0.0,0.0,5.76,6.4,0.64,0.9
,107,9.35,19.86,4.64,17.8,5.83,0.0499,3.7958599569721705,2.0129749756221393,2.1225,1.0,44.816560172111316,-0.10952502437786071,0.9555115946421909,0.7957295174028726,Floracion,0.194,65.0,POSPONER_DEUDA,null,1.5978633674008142,2,0.0,0.0,0.0,0.0,0.0,0.9
,108,7.88,16.97,3.32,22.15,1.21,0.0518,3.6995603639184798,1.9127225564901849,0.0,1.0,45.20175854432608,1.9127225564901849,0.9226046716113789,0.8638817640625401,Floracion,0.194,65.0,POSPONER_DEUDA,null,2.8411330291194345,3,0.0,0.0,0.0,0.0,0.0,0.9
,109,5.6,19.52,4.13,23.45,0.0,0.0538,3.9573960734974842,1.9650667704343725,0.0,1.0,44.17041570601006,1.9650667704343725,1.8954879516830774,0.8557023527002406,Floracion,0.194,65.0,POSPONER_DEUDA,null,4.118426429901777,4,0.0,0.0,0.0,0.0,0.0,0.9
