Fecha,J,Tmin,Tmax,Uz,Rs,lluvia,fc,ETo,ETc,Pe,Ks,RAW,DND,De_end,RSWC,fase,prioridad,pct_dnd,decision,plan_pulsos,deuda_mm,dias_sin_riego,riego_neto_programado_mm,riego_bruto_programado_mm,riego_neto_aplicado_mm,riego_bruto_aplicado_mm,perdidas_sistema_mm,eficiencia_riego
,100,2.58,21.72,1.7,24.05,0.0,0.0386,3.872585632289354,1.9822117975082247,0.0,1.0,44.50965747084258,1.9822117975082247,3.965834117939172,0.6479545454545456,Floracion,0.194,65.0,POSPONER_DEUDA,null,1.288437668380346,1,0.0,0.0,0.0,0.0,0.0,0.9
,101,5.73,18.18,5.97,23.88,0.0,0.04,4.583559844735654,2.7220029198220472,0.0,0.9945752069484416,41.66576062105739,2.7220029198220472,5.1575596775704415,0.6111890371310008,Floracion,0.194,65.0,POSPONER_DEUDA,null,3.0577395662646767,2,0.0,0.0,0.0,0.0,0.0,0.9
,102,6.6,15.29,4.64,24.63,0.0,0.0415,3.911737002477855,2.0975070248699876,0.0,0.9936894521658376,44.35305199008858,2.0975070248699876,6.1494481043759475,0.5617393763777127,Floracion,0.194,65.0,POSPONER_DEUDA,null,4.421119132430169,3,0.0,0.0,0.0,0.0,0.0,0.9
,103,4.92,12.56,2.59,13.55,0.0,0.043,2.1772271605199003,0.8889975072618759,0.0,1.0,51.29109135792041,0.8889975072618759,6.65424416447942,0.523067596015782,Floracion,0.194,65.0,POSPONER_DEUDA,null,4.998967512150388,4,0.0,0.0,0.0,0.0,0.0,0.9
,104,3.98,13.23,5.03,21.79,0.0,0.0446,3.3787780094484137,1.8611208409279054,0.0,0.9774674621552842,46.484887962206344,1.8611208409279054,7.521333468291945,0.5060265836485266,Floracion,0.194,65.0,REGAR_COMPLETO,"{""num_pulsos"": 2, ""mm_por_pulso"": 3.0, ""horas_por_pulso"": 3.33, ""descanso_entre_pulsos_h"": 0.5, ""horas_totales_aprox"": 7.17}",0.0,0,6.0,6.67,0.0,0.0,0.0,0.9
,105,3.59,11.49,5.97,12.05,0.0,0.0463,2.150716792735545,1.0663362933555116,0.0,1.0,51.397132829057824,1.0663362933555116,2.0508704368068775,0.4718133773869985,Floracion,0.194,65.0,POSPONER_DEUDA,null,0.6931185906810826,1,0.0,0.0,6.0,6.67,0.67,0.9
,106,1.38,11.75,4.91,21.12,0.0,0.0481,3.014023013506612,1.619599682392546,0.0,1.0,47.94390794597355,1.619599682392546,2.8134759189934258,0.7219584694712475,Floracion,0.194,65.0,POSPONER_DEUDA,null,1.7458583842362376,2,0.0,0.0,0.0,0.0,0.0,0.9
,107,1.18,13.15,4.98,25.35,0.0,0.0499,3.9710455811382,2.364219303068014,0.0,1.0,44.1158176754472,2.364219303068014,3.845947770089358,0.6921232030614904,Floracion,0.194,65.0,POSPONER_DEUDA,null,3.282600931230447,3,0.0,0.0,0.0,0.0,0.0,0.9
,108,-2.17,17.24,4.49,24.92,0.2,0.0518,4.4446030089247826,2.6220489672901084,0.0,0.996877598422162,42.22158796430087,2.6220489672901084,4.801544552409801,0.6491934016432512,Floracion,0.194,65.0,POSPONER_DEUDA,null,4.986932759969017,4,0.0,0.0,0.0,0.0,0.0,0.9
,109,7.4,13.63,7.02,18.66,0.0,0.0538,3.67670276240878,2.230282936012887,0.0,1.0,45.29318895036488,2.230282936012887,5.757487270636084,0.6060007392431046,Floracion,0.194,65.0,REGAR_COMPLETO,"{""num_pulsos"": 2, ""mm_por_pulso"": 3.0, ""horas_por_pulso"": 3.33, ""descanso_entre_pulsos_h"": 0.5, ""horas_totales_aprox"": 7.17}",0.0,0,6.0,6.67,0.0,0.0,0.0,0.9
,110,7.0,14.71,7.27,15.92,0.0,0.0558,3.173713903954539,1.8281710945019558,0.0,1.0,47.305144384181844,1.8281710945019558,0.8218412840200383,0.5656420101077296,Floracion,0.194,65.0,POSPONER_DEUDA,null,1.1883112114262713,1,0.0,0.0,6.0,6.67,0.67,0.9
,111,4.52,13.5,5.6,11.65,0.0,0.0578,2.2361016238924853,1.0644409809498818,0.0,1.0,51.055593504430064,1.0644409809498818,1.363315273236367,0.7661358760721467,Floracion,0.194,65.0,POSPONER_DEUDA,null,1.8801978490436944,2,0.0,0.0,0.0,0.0,0.0,0.9
,112,8.34,17.64,4.46,20.61,0.0,0.0599,3.592988967179898,1.8198353294303509,0.0,1.0,45.62804413128041,1.8198353294303509,2.2511046533958035,0.7462169928174227,Floracion,0.194,65.0,POSPONER_DEUDA,null,3.0630908131734227,3,0.0,0.0,0.0,0.0,0.0,0.9
,113,6.67,19.25,3.66,23.09,0.0,0.062,4.412984032297886,2.551642946914309,0.0,1.0,42.34806387080846,2.551642946914309,3.3936354825976713,0.7124549245577795,Floracion,0.194,65.0,POSPONER_DEUDA,null,4.721658728667723,4,0.0,0.0,0.0,0.0,0.0,0.9
,114,3.32,18.65,5.34,25.75,0.0,0.0642,4.634753494497192,2.6632074593079635,0.0,0.9819362929021659,41.460986022011234,2.6632074593079635,4.594608774981831,0.6659044193640823,Floracion,0.194,65.0,REGAR_COMPLETO,"{""num_pulsos"": 2, ""mm_por_pulso"": 3.0, ""horas_por_pulso"": 3.33, ""descanso_entre_pulsos_h"": 0.5, ""horas_totales_aprox"": 7.17}",0.0,0,6.0,6.67,0.0,0.0,0.0,0.9
,115,3.99,15.83,4.36,25.46,0.0,0.0664,4.353653687875923,2.5239535653134437,0.0,1.0,42.58538524849631,2.5239535653134437,1.1269957018732302,0.6172531783358752,Floracion,0.194,65.0,POSPONER_DEUDA,null,1.6405698174537384,1,0.0,0.0,6.0,6.67,0.67,0.9
,116,0.77,21.39,3.12,25.77,0.0,0.0686,4.69730981765431,2.6140741588783296,0.0,1.0,41.21076072938276,2.6140741588783296,2.3240773343959313,0.7908428031721361,Floracion,0.194,65.0,POSPONER_DEUDA,null,3.3397180207246526,2,0.0,0.0,0.0,0.0,0.0,0.9
,117,7.87,25.27,2.93,28.39,0.0,0.0708,5.768981935528558,3.3499060465732446,0.0,0.9778745933690358,36.92407225788577,3.3499060465732446,3.823640053104808,0.7429483380383706,Floracion,0.194,65.0,REGAR_COMPLETO,"{""num_pulsos"": 2, ""mm_por_pulso"": 2.76, ""horas_por_pulso"": 3.07, ""descanso_entre_pulsos_h"": 0.5, ""horas_totales_aprox"": 6.63}",0.0,0,5.52,6.13,0.0,0.0,0.0,0.9
,118,10.34,24.13,2.13,23.93,0.0,0.0731,4.610977813953424,2.413396070800944,0.0,1.0,41.55608874418631,2.413396070800944,1.1482581489123949,0.6818379310697402,Floracion,0.194,65.0,POSPONER_DEUDA,null,1.5687074460206136,1,0.0,0.0,5.52,6.13,0.61,0.9
,119,5.32,13.97,3.43,6.95,0.0,0.0754,1.5067225024840158,0.5792744230237158,0.0,1.0,53.97310999006394,0.5792744230237158,1.4883505113845303,0.8282748770490596,Floracion,0.194,65.0,POSPONER_DEUDA,null,1.945235820986029,2,0.0,0.0,0.0,0.0,0.0,0.9
,120,4.72,13.29,2.99,14.96,0.0,0.0778,2.4887797483186773,1.1261639405249617,0.0,1.0,50.0448810067253,1.1261639405249617,2.0779326552305237,0.8170848220817234,Floracion,0.194,65.0,POSPONER_DEUDA,null,2.677242382327254,3,0.0,0.0,0.0,0.0,0.0,0.9
,121,2.91,13.22,3.85,18.56,0.0,0.0802,2.795281946776722,1.3465965640097046,0.0,1.0,48.81887221289312,1.3465965640097046,2.7533002995528286,0.795882115393745,Floracion,0.194,65.0,POSPONER_DEUDA,null,3.552530148933562,4,0.0,0.0,0.0,0.0,0.0,0.9
,122,0.17,15.9,1.52,20.74,0.0,0.0828,3.0750707761816076,1.5141285855639803,0.0,1.0,47.69971689527357,1.5141285855639803,3.5011924691592373,0.7707575370816346,Floracion,0.194,65.0,POSPONER_DEUDA,null,4.536713729550149,5,0.0,0.0,0.0,0.0,0.0,0.9
,123,5.8,19.05,1.74,25.17,0.0,0.0854,3.9603184987641042,2.0163392213926428,0.0,1.0,44.15872600494358,2.0163392213926428,4.474754675865731,0.742595807745229,Floracion,0.194,65.0,REGAR_COMPLETO,"{""num_pulsos"": 2, ""mm_por_pulso"": 2.92, ""horas_por_pulso"": 3.25, ""descanso_entre_pulsos_h"": 0.5, ""horas_totales_aprox"": 7.0}",0.0073342234553672725,0,5.84,6.49,0.0,0.0,0.0,0.9
,124,4.59,20.38,2.6,25.08,0.0,0.0883,4.32635718262913,2.2683552325592946,0.0,1.0,42.69457126948348,2.2683552325592946,1.0736509132496608,0.7052659189260224,Floracion,0.194,65.0,POSPONER_DEUDA,null,1.4817651246189087,1,0.0,0.0,5.84,6.49,0.65,0.9
,125,8.28,15.91,3.99,16.58,0.0,0.0913,2.9853392481352836,1.4503740008304153,0.0,1.0,48.05864300745887,1.4503740008304153,1.794765689853627,0.8550296974441416,Floracion,0.194,65.0,POSPONER_DEUDA,null,2.4245082251586787,2,0.0,0.0,0.0,0.0,0.0,0.9
,126,8.41,11.75,2.36,8.67,0.0,0.0944,1.501653321014802,0.5146867910928917,0.0,1.0,53.993386715940794,0.5146867910928917,2.121371970304656,0.8280174254167407,Floracion,0.194,65.0,POSPONER_DEUDA,null,2.7590546393690585,3,0.0,0.0,0.0,0.0,0.0,0.9
,127,6.8,17.04,3.7,22.54,0.0,0.0978,3.5596549202620067,1.7402581126419576,0.0,1.0,45.76138031895198,1.7402581126419576,2.981481859041875,0.8178867005178336,Floracion,0.194,65.0,POSPONER_DEUDA,null,3.890222412586331,4,0.0,0.0,0.0,0.0,0.0,0.9
,128,4.38,20.25,2.08,26.21,0.0,0.1012,4.176343531650521,2.0761782181109245,0.0,1.0,43.29462587339792,2.0761782181109245,3.995392419641914,0.785515091051423,Floracion,0.194,65.0,REGAR_COMPLETO,"{""num_pulsos"": 2, ""mm_por_pulso"": 2.62, ""horas_por_pulso"": 2.91, ""descanso_entre_pulsos_h"": 0.5, ""horas_totales_aprox"": 6.32}",0.0,0,5.24,5.82,0.0,0.0,0.0,0.9
,129,9.39,23.66,2.47,24.82,0.0,0.1049,4.496122607155393,2.126050293467373,0.0,1.0,42.01550957137843,2.126050293467373,1.0722525993377543,0.7469890590254797,Floracion,0.194,65.0,POSPONER_DEUDA,null,1.3819326907537923,1,0.0,0.0,5.24,5.82,0.58,0.9
