Fecha,J,Tmin,Tmax,Uz,Rs,lluvia,fc,ETo,ETc,Pe,Ks,RAW,DND,De_end,RSWC,fase,prioridad,pct_dnd,decision,plan_pulsos,deuda_mm,dias_sin_riego,riego_neto_programado_mm,riego_bruto_programado_mm,riego_neto_aplicado_mm,riego_bruto_aplicado_mm,perdidas_sistema_mm,eficiencia_riego
,99,5.91,22.83,2.57,18.37,0.0,0.0386,3.9946760328321913,2.148953465479868,0.0,1.0,44.02129586867124,2.148953465479868,4.013658616727522,0.6479545454545456,Floracion,0.194,65.0,POSPONER_DEUDA,null,1.3968197525619144,1,0.0,0.0,0.0,0.0,0.0,0.9
,100,6.52,19.83,3.07,20.07,0.0,0.04,3.8516135599085892,1.988119364479606,0.0,1.0,44.59354576036564,1.988119364479606,4.976676467965798,0.6083539652437747,Floracion,0.194,65.0,POSPONER_DEUDA,null,2.6890973394736584,2,0.0,0.0,0.0,0.0,0.0,0.9
,101,5.98,19.48,2.59,21.47,0.0,0.0415,3.781627356390766,1.8808143448871613,0.0,1.0,44.873490574436936,1.8808143448871613,5.909954249159438,0.571522780127529,Floracion,0.194,65.0,POSPONER_DEUDA,null,3.9116266636503134,3,0.0,0.0,0.0,0.0,0.0,0.9
,102,3.97,20.5,2.64,19.32,0.0,0.043,3.763496075739119,1.944208628271508,0.0,0.9805305375918895,44.94601569704353,1.944208628271508,6.85376035134169,0.5365080859499012,Floracion,0.194,65.0,POSPONER_DEUDA,null,5.175362272026794,4,0.0,0.0,0.0,0.0,0.0,0.9
,103,3.3,21.69,1.99,25.3,0.0,0.0446,4.19818512575167,2.129000339815866,0.0,0.9162773927792213,43.20725949699332,2.129000339815866,7.91211329006615,0.5004745121687714,Floracion,0.194,65.0,POSPONER_LLUVIA,null,6.0,5,0.0,0.0,0.0,0.0,0.0,0.9
,104,5.38,20.63,3.29,15.64,0.2,0.0463,3.733046439179859,1.9318125701734095,0.0,0.9121957039719018,45.067814243280566,1.9318125701734095,8.660510392375315,0.4608245736161121,Floracion,0.194,65.0,POSPONER_LLUVIA,null,6.0,6,0.0,0.0,0.0,0.0,0.0,0.9
,105,7.52,19.7,2.66,16.44,12.8,0.0481,3.21895203826828,1.5116405488884772,7.3500000000000005,1.0,47.124191846926884,-5.838359451111524,0.7781099916567459,0.4294389745971148,Floracion,0.194,65.0,POSPONER_DEUDA,null,0.16164054888847623,1,0.0,0.0,0.0,0.0,0.0,0.9
,106,3.9,19.35,1.54,21.95,5.0,0.0499,3.3478175904638277,1.495953645047015,1.5,1.0,46.608729638144695,-0.0040463549529849985,0.7961581327341974,0.7865406994209673,Floracion,0.194,65.0,POSPONER_DEUDA,null,0.15921273591668522,2,0.0,0.0,0.0,0.0,0.0,0.9
,107,6.25,11.94,2.81,8.24,6.8,0.0518,1.5617165676496885,0.5662084662543857,2.8499999999999996,1.0,53.75313372940125,-2.283791533745614,0.34926104443706213,0.844512651211547,Floracion,0.194,65.0,POSPONER_DEUDA,null,0.0,3,0.0,0.0,0.0,0.0,0.0,0.9
,108,3.04,17.22,1.76,25.4,0.0,0.0538,3.4736106467322148,1.50381216760925,0.0,1.0,46.10555741307114,1.50381216760925,1.16637282997436,0.9215358282738374,Floracion,0.194,65.0,POSPONER_DEUDA,null,0.9774779089460125,4,0.0,0.0,0.0,0.0,0.0,0.9
,109,6.05,19.29,1.8,23.7,0.0,0.0558,3.750475544870263,1.8301980822846415,0.0,1.0,44.99809782051895,1.8301980822846415,2.082533332139927,0.8929931531862829,Floracion,0.194,65.0,POSPONER_DEUDA,null,2.1671066624310296,5,0.0,0.0,0.0,0.0,0.0,0.9
,110,5.78,19.96,2.58,23.4,0.0,0.0578,4.094424512127332,2.1439058899336727,0.0,1.0,43.62230195149068,2.1439058899336727,3.1064778833633637,0.8588591141596663,Floracion,0.194,65.0,POSPONER_DEUDA,null,3.560645490887917,6,0.0,0.0,0.0,0.0,0.0,0.9
,111,4.97,18.63,3.03,17.45,3.8,0.0599,3.2918906616485404,1.588817133706822,0.5999999999999999,1.0,46.832437353405844,0.9888171337068221,0.8003056825170438,0.8192539134322336,Floracion,0.194,65.0,POSPONER_DEUDA,null,4.203376627797351,7,0.0,0.0,0.0,0.0,0.0,0.9
,112,9.32,15.48,5.1,14.14,12.0,0.062,2.3876409966451364,1.0450815225183234,6.75,1.0,50.44943601341946,-5.704918477481677,0.5622515037411101,0.8885833881279347,Floracion,0.194,65.0,POSPONER_DEUDA,null,0.0,1,0.0,0.0,0.0,0.0,0.0,0.9
,113,8.85,17.49,5.02,20.14,12.6,0.0642,3.417097904345181,1.681470557027975,7.199999999999999,1.0,46.33160838261928,-5.518529442972024,0.835136231198262,0.9808366786051204,Floracion,0.194,65.0,POSPONER_DEUDA,null,0.0,2,0.0,0.0,0.0,0.0,0.0,0.9
,114,7.72,19.7,4.61,24.55,0.0,0.0664,4.836894143010096,2.775015691084401,0.0,1.0,40.65242342795962,2.775015691084401,2.0823765521409534,1.0,Floracion,0.194,65.0,POSPONER_DEUDA,null,1.8037601992048606,3,0.0,0.0,0.0,0.0,0.0,0.9
,115,5.51,21.76,2.41,26.15,0.0,0.0686,4.632057639595777,2.4907310462683845,0.0,1.0,41.47176944161689,2.4907310462683845,3.2483240561798956,0.9493382665097836,Floracion,0.194,65.0,POSPONER_DEUDA,null,3.4227353792793105,4,0.0,0.0,0.0,0.0,0.0,0.9
,116,5.31,22.56,1.35,26.6,0.0,0.0708,4.208755319169529,2.040954698020453,0.0,1.0,43.16497872332189,2.040954698020453,4.270077067271746,0.9035082729301405,Floracion,0.194,65.0,POSPONER_DEUDA,null,4.749355932992605,5,0.0,0.0,0.0,0.0,0.0,0.9
