Fecha,J,Tmin,Tmax,Uz,Rs,lluvia,fc,ETo,ETc,Pe,Ks,RAW,DND,De_end,RSWC,fase,prioridad,pct_dnd,decision,plan_pulsos,deuda_mm,dias_sin_riego,riego_neto_programado_mm,riego_bruto_programado_mm,riego_neto_aplicado_mm,riego_bruto_aplicado_mm,perdidas_sistema_mm,eficiencia_riego
,98,2.26,25.75,1.84,25.79,0.0,0.0386,4.608315747098559,2.5754498236930083,0.0,1.0,41.56673701160577,2.5754498236930083,4.185435529276061,0.6479545454545456,Floracion,0.194,65.0,POSPONER_DEUDA,null,1.6740423854004556,1,0.0,0.0,0.0,0.0,0.0,0.9
,99,4.33,26.35,1.47,23.96,0.0,0.04,4.237812488141158,2.2897606381960975,0.0,1.0,43.04875004743537,2.2897606381960975,5.262063550363894,0.6007211791737784,Floracion,0.194,65.0,POSPONER_DEUDA,null,3.162386800227919,2,0.0,0.0,0.0,0.0,0.0,0.9
,100,6.15,26.82,1.8,23.08,0.0,0.0415,4.586086695958939,2.4914802992668235,0.0,0.9449894047555938,41.65565321616425,2.4914802992668235,6.441697610346559,0.5585524124713003,Floracion,0.194,65.0,POSPONER_DEUDA,null,4.781848994751354,3,0.0,0.0,0.0,0.0,0.0,0.9
,101,4.94,27.49,1.74,25.52,0.0,0.043,4.80139581927476,2.5279395412268677,0.0,0.8891612298194643,40.79441672290096,2.5279395412268677,7.676358534819544,0.5126058397394003,Floracion,0.198,65.0,REGAR_COMPLETO,"{""num_pulsos"": 2, ""mm_por_pulso"": 3.0, ""horas_por_pulso"": 3.33, ""descanso_entre_pulsos_h"": 0.5, ""horas_totales_aprox"": 7.17}",0.0,0,6.0,6.67,0.0,0.0,0.0,0.9
,102,9.15,23.48,3.74,23.83,0.0,0.0446,5.331050266236734,3.0720248638241534,0.0,1.0,38.675798935053066,3.0720248638241534,3.061020067038081,0.46569581450072023,Floracion,0.194,65.0,POSPONER_DEUDA,null,1.9968161614856998,1,0.0,0.0,6.0,6.67,0.67,0.9
,103,6.54,17.59,2.81,25.38,0.0,0.0463,4.392470335376207,2.5189629563751144,0.0,1.0,42.430118658495175,2.5189629563751144,4.199367523894773,0.6795814814518225,Floracion,0.194,65.0,POSPONER_DEUDA,null,3.6341420831295244,2,0.0,0.0,0.0,0.0,0.0,0.9
,104,2.59,20.53,3.39,22.84,0.0,0.0481,4.429741176825406,2.340960329539886,0.0,0.9793034605533638,42.28103529269838,2.340960329539886,5.317918791309183,0.6335466236084898,Floracion,0.194,65.0,POSPONER_DEUDA,null,5.15576629733045,3,0.0,0.0,0.0,0.0,0.0,0.9
,105,3.59,22.47,3.0,25.96,0.0,0.0499,4.694951735373295,2.461485167948092,0.0,0.9218033261288159,41.22019305850682,2.461485167948092,6.512945371793963,0.5902973668529466,Floracion,0.194,65.0,REGAR_COMPLETO,"{""num_pulsos"": 2, ""mm_por_pulso"": 3.0, ""horas_por_pulso"": 3.33, ""descanso_entre_pulsos_h"": 0.5, ""horas_totales_aprox"": 7.17}",0.0,0,6.0,6.67,0.0,0.0,0.0,0.9
,106,3.53,22.47,1.24,26.81,0.0,0.0518,4.085131600999755,2.175733339938692,0.0,1.0,43.65947359600098,2.175733339938692,1.5423155408215852,0.544675835753176,Floracion,0.194,65.0,POSPONER_DEUDA,null,1.4142266709601499,1,0.0,0.0,6.0,6.67,0.67,0.9
,107,3.46,22.73,2.02,26.9,0.0,0.0538,4.65628725082888,2.560593433884693,0.0,1.0,41.37485099668448,2.560593433884693,2.7284284380008748,0.7511993020066002,Floracion,0.194,65.0,POSPONER_DEUDA,null,3.0786124029852004,2,0.0,0.0,0.0,0.0,0.0,0.9
,108,5.81,21.67,3.57,26.67,0.0,0.0558,4.989425600718022,2.8432106985924492,0.0,0.9837870238883782,40.04229759712791,2.8432106985924492,4.019570217586004,0.704180470017493,Floracion,0.194,65.0,POSPONER_DEUDA,null,4.926699357070293,3,0.0,0.0,0.0,0.0,0.0,0.9
,109,6.68,20.93,3.01,22.27,0.0,0.0578,4.19071915732879,2.2408297262115404,0.0,0.9890689521277612,43.23712337068484,2.2408297262115404,5.07752561985323,0.6521716039624328,Floracion,0.194,65.0,REGAR_COMPLETO,"{""num_pulsos"": 2, ""mm_por_pulso"": 3.0, ""horas_por_pulso"": 3.33, ""descanso_entre_pulsos_h"": 0.5, ""horas_totales_aprox"": 7.17}",0.0,0,6.0,6.67,0.0,0.0,0.0,0.9
,110,3.8,26.68,1.28,26.49,0.0,0.0599,4.520249241427879,2.434094887739275,0.0,1.0,41.91900303428849,2.434094887739275,1.1410064928904238,0.6108705513210306,Floracion,0.194,65.0,POSPONER_DEUDA,null,1.5821616770305287,1,0.0,0.0,6.0,6.67,0.67,0.9
,111,7.47,27.02,1.64,22.18,0.98,0.062,4.423541223234912,2.3525691522746426,0.0,1.0,42.30583510706036,2.3525691522746426,1.272074251752645,0.781584202159296,Floracion,0.194,65.0,POSPONER_DEUDA,null,3.1113316260090462,2,0.0,0.0,0.0,0.0,0.0,0.9
,112,7.88,18.98,1.55,16.81,1.37,0.0642,2.864075725749123,1.2060522319127973,0.0,1.0,48.543697097003516,1.2060522319127973,0.6660964155041138,0.7602709109192712,Floracion,0.194,65.0,POSPONER_DEUDA,null,3.8952655767523643,3,0.0,0.0,0.0,0.0,0.0,0.9
,113,4.6,24.01,1.86,26.98,0.0,0.0664,4.632876125850138,2.4830498226761155,0.0,1.0,41.46849549659945,2.4830498226761155,1.831575875274726,0.7681217246787848,Floracion,0.194,65.0,REGAR_COMPLETO,"{""num_pulsos"": 2, ""mm_por_pulso"": 2.75, ""horas_por_pulso"": 3.06, ""descanso_entre_pulsos_h"": 0.5, ""horas_totales_aprox"": 6.62}",0.009247961491839263,0,5.5,6.11,0.0,0.0,0.0,0.9
,114,7.07,26.15,1.22,26.41,0.0,0.0686,4.527038725385183,2.4105785241309174,0.0,1.0,41.89184509845927,2.4105785241309174,1.1355658844819216,0.7224089593162331,Floracion,0.194,65.0,POSPONER_DEUDA,null,1.5761240021769356,1,0.0,0.0,5.5,6.11,0.61,0.9
,115,8.95,28.02,1.77,26.05,0.0,0.0708,5.161354173176044,2.8464517135631158,0.0,1.0,39.354583307295826,2.8464517135631158,2.4458386072410576,0.8411931562444781,Floracion,0.194,65.0,POSPONER_DEUDA,null,3.4263176159929607,2,0.0,0.0,0.0,0.0,0.0,0.9
,116,8.35,29.5,1.64,27.53,0.0,0.0731,5.360679892256195,2.983487972269076,0.0,1.0,38.55728043097522,2.983487972269076,3.810408871320341,0.7889888875051041,Floracion,0.194,65.0,REGAR_COMPLETO,"{""num_pulsos"": 2, ""mm_por_pulso"": 2.68, ""horas_por_pulso"": 2.98, ""descanso_entre_pulsos_h"": 0.5, ""horas_totales_aprox"": 6.46}",0.0055847979678596005,0,5.36,5.96,0.0,0.0,0.0,0.9
,117,8.88,31.91,1.17,24.27,0.0,0.0754,4.818594407175833,2.6314146929338498,0.0,1.0,40.72562237129667,2.6314146929338498,1.2174467154648767,0.734339054441009,Floracion,0.194,65.0,POSPONER_DEUDA,null,1.716004348374862,1,0.0,0.0,5.36,5.96,0.6,0.9
,118,13.98,32.92,1.79,18.95,0.0,0.0778,5.030037107069057,2.8200456693502827,0.0,1.0,39.879851571723776,2.8200456693502827,2.499704719072769,0.8617196585979556,Floracion,0.194,65.0,POSPONER_DEUDA,null,3.5490340334525454,2,0.0,0.0,0.0,0.0,0.0,0.9
,119,12.04,27.77,1.96,17.97,0.0,0.0802,4.482929653869166,2.4196934658891083,0.0,1.0,42.06828138452334,2.4196934658891083,3.626173175149794,0.8101219255482318,Floracion,0.194,65.0,POSPONER_DEUDA,null,5.121834786280466,3,0.0,0.0,0.0,0.0,0.0,0.9
,120,8.48,26.61,1.39,23.18,0.0,0.0828,4.429249568875118,2.347130186758047,0.0,1.0,42.28300172449953,2.347130186758047,4.731120343468464,0.7656470238013966,Floracion,0.194,65.0,REGAR_COMPLETO,"{""num_pulsos"": 2, ""mm_por_pulso"": 3.0, ""horas_por_pulso"": 3.33, ""descanso_entre_pulsos_h"": 0.5, ""horas_totales_aprox"": 7.17}",0.0,0,6.0,6.67,0.0,0.0,0.0,0.9
,121,9.35,26.95,1.79,28.03,0.0,0.0854,5.375773357284076,3.1243896153619035,0.0,1.0,38.4969065708637,3.1243896153619035,1.3860877591268592,0.7224113632632516,Floracion,0.194,65.0,POSPONER_DEUDA,null,2.0308532499852374,1,0.0,0.0,6.0,6.67,0.67,0.9
,122,8.15,28.49,1.7,25.87,0.0,0.0883,5.267386632793787,3.087313829866721,0.0,1.0,38.93045346882486,3.087313829866721,2.747530486925231,0.8752271342703675,Floracion,0.194,65.0,POSPONER_DEUDA,null,4.037607239398606,2,0.0,0.0,0.0,0.0,0.0,0.9
,123,9.02,27.69,2.12,23.18,0.0,0.0913,5.353332414545055,3.1733322146205865,0.0,1.0,38.58667034181978,3.1733322146205865,4.13605730848964,0.8190656180609316,Floracion,0.194,65.0,REGAR_COMPLETO,"{""num_pulsos"": 2, ""mm_por_pulso"": 3.0, ""horas_por_pulso"": 3.33, ""descanso_entre_pulsos_h"": 0.5, ""horas_totales_aprox"": 7.17}",0.0,0,6.0,6.67,0.0,0.0,0.0,0.9
,124,8.08,25.94,1.45,25.14,0.0,0.0944,4.680849979202385,2.5005814616821884,0.0,1.0,41.27660008319046,2.5005814616821884,1.167447090944982,0.7614229547512354,Floracion,0.194,65.0,POSPONER_DEUDA,null,1.6253779500934225,1,0.0,0.0,6.0,6.67,0.67,0.9
,125,8.35,28.96,1.11,27.95,0.0,0.0978,4.9847418050698,2.7024153713118593,0.0,1.0,40.061032779720804,2.7024153713118593,2.416139437106203,0.9037040380366026,Floracion,0.194,65.0,POSPONER_DEUDA,null,3.381947941446131,2,0.0,0.0,0.0,0.0,0.0,0.9
,126,11.77,29.09,1.48,24.25,0.39,0.1012,4.9854757817991855,2.7436212357000147,0.0,1.0,40.05809687280326,2.7436212357000147,3.280686930081531,0.854105014957071,Floracion,0.194,65.0,POSPONER_DEUDA,null,5.16530174465114,3,0.0,0.0,0.0,0.0,0.0,0.9
,127,8.21,26.21,1.52,26.27,0.0,0.1049,4.830133030598363,2.5460191191813553,0.0,1.0,40.67946787760655,2.5460191191813553,4.476266891384166,0.8126263438847531,Floracion,0.194,65.0,REGAR_COMPLETO,"{""num_pulsos"": 2, ""mm_por_pulso"": 3.0, ""horas_por_pulso"": 3.33, ""descanso_entre_pulsos_h"": 0.5, ""horas_totales_aprox"": 7.17}",0.0,0,6.0,6.67,0.0,0.0,0.0,0.9
,128,9.02,28.62,1.39,26.62,0.0,0.1086,5.056026414037441,2.8073616950360973,0.0,1.0,39.77589434385024,2.8073616950360973,1.2739590536079586,0.7657501226035011,Floracion,0.194,65.0,POSPONER_DEUDA,null,1.8247851017734633,1,0.0,0.0,6.0,6.67,0.67,0.9
,129,10.9,30.37,1.64,27.06,0.0,0.1125,5.556927072142839,3.077341809871756,0.0,1.0,37.77229171142864,3.077341809871756,2.671326914235986,0.9192429386077937,Floracion,0.194,65.0,POSPONER_DEUDA,null,3.825057278190105,2,0.0,0.0,0.0,0.0,0.0,0.9
,130,11.1,26.41,1.84,26.76,0.0,0.1164,5.323639248806308,3.0822375667840856,0.0,1.0,38.70544300477477,3.0822375667840856,4.030994942930315,0.8629520167829591,Floracion,0.194,65.0,REGAR_COMPLETO,"{""num_pulsos"": 2, ""mm_por_pulso"": 2.91, ""horas_por_pulso"": 3.24, ""descanso_entre_pulsos_h"": 0.5, ""horas_totales_aprox"": 6.98}",0.008511696599760477,0,5.82,6.47,0.0,0.0,0.0,0.9
,131,11.3,24.47,1.67,23.79,0.0,0.1205,4.7050994104434585,2.6564200462562626,0.0,1.0,41.17960235822617,2.6564200462562626,1.1891222775193913,0.8068792679793747,Floracion,0.194,65.0,POSPONER_DEUDA,null,1.7351847266663312,1,0.0,0.0,5.82,6.47,0.65,0.9
,132,7.48,20.53,1.85,24.57,0.0,0.1246,4.485120465348776,2.6103776424235994,0.0,1.0,42.0595181386049,2.6103776424235994,2.3344488948159565,0.9290484961671267,Floracion,0.194,65.0,POSPONER_DEUDA,null,3.431930194241671,2,0.0,0.0,0.0,0.0,0.0,0.9
